daily-10000001,Daily Target: Symbollic Victory
daily-20000001,Clear any map once.
daily-10000002,Daily Target: Double Victory
daily-20000002,Clear any two maps.
daily-10000003,Daily Target: Three-Part Victory
daily-20000003,Clear any three maps.
daily-10000004,Daily Target: Doll Stockpiling
daily-20000004,Produce 1 T-Doll.
daily-10000005,Daily Target: Doll Expansion
daily-20000005,Produce 3 T-Dolls.
daily-10000006,Daily Target: Small-scale Support
daily-20000006,Complete 1 Logistics Mission.
daily-10000007,Daily Target: Routine Support
daily-20000007,Complete 3 Logistics Supports.
daily-10000008,Daily Target: Full-scale Support
daily-20000008,Complete 5 Logistics Supports.
daily-10000009,Daily Target: Small-scale Enhancement
daily-20000009,Perform 1 T-Doll Enhancement.
daily-10000010,Daily Target: Routine Enhancement
daily-20000010,Perform 3 T-Doll Enhancements.
daily-10000011,Daily Target: Routine Repair 
daily-20000011,Repair 3 T-Dolls or Coalition units.
daily-10000012,Daily Target: Small-scale Simulation
daily-20000012,Complete 1 Battle Simulations (Coalition Drills do not count).
daily-10000013,Daily Target: Routine Simulation
daily-20000013,Complete 3 Battle Simulations (Coalition Drills do not count).
daily-10000014,Daily Target: Equipment Stockpiling
daily-20000014,Produce a piece of Equipment.
daily-10000015,Daily Target: Equipment Expansion
daily-20000015,Produce 3 pieces of Equipment.
daily-10000016,Daily Target: Equipment Enhancement
daily-20000016,Perform 1 Equipment Enhancement.
daily-10000017,Daily Target: Equipment Upgrade
daily-20000017,Perform 3 Equipment Enhancements.
daily-10000018,Daily Target: Joint Development
daily-20000018,Obtain Shared Batteries from your friends' Dorms 5 times in total.
daily-10000019,Daily Target: Mutual Appreciation
daily-20000019,Like your friends' Dorms 5 times in total.
daily-10000020,Daily Target: Small-scale Analysis
daily-20000020,Complete Intelligence Analysis once.
daily-10000021,Daily Target: Routine Analysis
daily-20000021,Complete Intelligence Analysis 3 times.
