item_access-10000001,Shop
item_access-10000002,Event
item_access-10000003,Daily Login
item_access-10000004,Logistic support
item_access-10000005,Quest
item_access-10000006,Exchange
item_access-10000007,Retirement and Disassembly
item_access-10000008,Intelligence Center
item_access-10000009,Intelligence Analysis
item_access-10000010,Code Refactoring
item_access-10000011,Procurement
item_access-10000012,Data Mode
item_access-10000013,Defense Drill
item_access-10000014,Neural Cloud Corridor
item_access-10000015,Cafe Bar Coffee Machine
item_access-10000016,Data Room
item_access-10000017,Dormitory
item_access-10000018,Support Echelons
item_access-10000019,Kernel Store
item_access-10000020,Coalition Drill
item_access-10000021,Furniture Recycle
item_access-10000022,Capture Operation
