explore_affair_server-10000001,[pet1] walks up to [gun1] but is scared away by her gun//c leaving only an equipment.
explore_affair_server-10000002,[pet1] walks up to [gun1] but is scared away by her gun//c leaving only an equipment.
explore_affair_server-10000003,[pet1] walks up to [gun1] but is scared away by her gun//c leaving only an equipment.
explore_affair_server-10000005,[gun1] accidentally falls into a snow pit. Expending great effort in getting her legs out//c she finds something sticking to her foot.
explore_affair_server-10000006,[gun1] accidentally falls into a snow pit. Expending great effort in getting her legs out//c she finds something sticking to her foot.
explore_affair_server-10000007,[gun1] accidentally falls into a snow pit. Expending great effort in getting her legs out//c she finds something sticking to her foot.
explore_affair_server-10000008,[gun1] falls into the water while crossing a river//c but finds something.
explore_affair_server-10000009,[gun1] falls into the water while crossing a river//c but finds something.
explore_affair_server-10000010,[gun1] falls into the water while crossing a river//c but finds something.
explore_affair_server-10000011,[gun1] gets into a snow fight with Sangvis units suffering from processor malfunction due to the coldness and wins a reward.
explore_affair_server-10000012,[gun1] gets into a snow fight with Sangvis units suffering from processor malfunction due to the coldness and wins a reward.
explore_affair_server-10000013,[gun1] gets into a snow fight with Sangvis units suffering from processor malfunction due to the coldness and wins a reward.
explore_affair_server-10000016,[gun1] distributes her own food to a group of people in need//c and one of them gifts her their treasure in return as thanks.
explore_affair_server-10000017,[gun1] distributes her own food to a group of people in need//c and one of them gifts her their treasure in return as thanks.
explore_affair_server-10000018,[gun1] distributes her own food to a group of people in need//c and one of them gifts her their treasure in return as thanks.
explore_affair_server-10000019,[gun1] see a beautiful flower and can't help but smell it. It's very stinky//c but she still appreciate the beauty of the flower//c and finds something underneath it.
explore_affair_server-10000020,[gun1] see a beautiful flower and can't help but smell it. It's very stinky//c but she still appreciate the beauty of the flower//c and finds something underneath it.
explore_affair_server-10000021,[gun1] see a beautiful flower and can't help but smell it. It's very stinky//c but she still appreciate the beauty of the flower//c and finds something underneath it.
explore_affair_server-10000022,[gun1] merrily dives into the snow. Noticing something buried beneath her//c she digs it out.
explore_affair_server-10000023,[gun1] merrily dives into the snow. Noticing something buried beneath her//c she digs it out.
explore_affair_server-10000024,[gun1] merrily dives into the snow. Noticing something buried beneath her//c she digs it out.
explore_affair_server-10000025,A group of monkeys suddenly appear and snatch [gun1]'s belongings. She finds a trove of snatched goods from elsewhere after following the monkeys back to their tree.
explore_affair_server-10000026,A group of monkeys suddenly appear and snatch [gun1]'s belongings. She finds a trove of snatched goods from elsewhere after following the monkeys back to their tree.
explore_affair_server-10000027,A group of monkeys suddenly appear and snatch [gun1]'s belongings. She finds a trove of snatched goods from elsewhere after following the monkeys back to their tree.
explore_affair_server-10000028,[gun1] searches an abandoned wooden house for food but unexpectedly finds something else instead.
explore_affair_server-10000029,[gun1] searches an abandoned wooden house for food but unexpectedly finds something else instead.
explore_affair_server-10000030,[gun1] searches an abandoned wooden house for food but unexpectedly finds something else instead.
explore_affair_server-10000031,[gun1] assists a group of civilian engineers in repairing a generator and receives a gift as a thank you.
explore_affair_server-10000032,[gun1] assists a group of civilian engineers in repairing a generator and receives a gift as a thank you.
explore_affair_server-10000033,[gun1] assists a group of civilian engineers in repairing a generator and receives a gift as a thank you.
explore_affair_server-10000034,[gun1] notices something hidden underwater from the riverside and dives in to retrieve it.
explore_affair_server-10000035,[gun1] notices something hidden underwater from the riverside and dives in to retrieve it.
explore_affair_server-10000036,[gun1] notices something hidden underwater from the riverside and dives in to retrieve it.
explore_affair_server-10000037,[gun1] comes across a group of bandits. While disarming them//c she finds a contract in their belongings.
explore_affair_server-10000038,[gun1] comes across a group of bandits. While disarming them//c she finds a contract in their belongings.
explore_affair_server-10000039,[gun1] comes across a group of bandits. While disarming them//c she finds a contract in their belongings.
explore_affair_server-10000040,[gun1] steps on something hard in the snow. After digging it up//c she is surprised to see it's something useful.
explore_affair_server-10000041,[gun1] steps on something hard in the snow. After digging it up//c she is surprised to see it's something useful.
explore_affair_server-10000042,[gun1] steps on something hard in the snow. After digging it up//c she is surprised to see it's something useful.
explore_affair_server-10000043,[gun1] comes across a recycling station where everyone finds some supplies.
explore_affair_server-10000044,[gun1] comes across a recycling station where everyone finds some supplies.
explore_affair_server-10000045,[gun1] comes across a recycling station where everyone finds some supplies.
explore_affair_server-10000046,[gun1] slips on ice and has a terrible fall but finds something in the snow pile.
explore_affair_server-10000047,[gun1] slips on ice and has a terrible fall but finds something in the snow pile.
explore_affair_server-10000048,[gun1] slips on ice and has a terrible fall but finds something in the snow pile.
explore_affair_server-10000049,[gun1] laboriously unlocks a safe filled with goods in an abandoned wooden shed.
explore_affair_server-10000050,[gun1] laboriously unlocks a safe filled with goods in an abandoned wooden shed.
explore_affair_server-10000051,[gun1] laboriously unlocks a safe filled with goods in an abandoned wooden shed.
explore_affair_server-10000052,[gun1:37] skillfully unlocks a safe filled with goods in an abandoned wooden shed.
explore_affair_server-10000053,[gun1:37] skillfully unlocks a safe filled with goods in an abandoned wooden shed.
