skin_bonus-10000201,Zombie Homebody
skin_bonus-20000201,A photo of Miss Halloween Gr G11 taken during a certain moment. According to M99's recountal//c "I don't know what happened. Gr G11 was already like this when I came to." As for what happened to Gr G11 before M99 regained consciousness may be the biggest mystery of this Halloween.
skin_bonus-30000201,Appearance - Icon
skin_bonus-10000202,Kitty Party
skin_bonus-20000202,A photo of Miss Halloween Vector taken during a certain moment. "No one besides the Commander has seen this photo. Of course//c there could've been others that were spirited away//c so I'm the first tooo~..." The note next to the photo was interrupted here. The last bit of unfinished handwriting is evidence of what may be the scariest tragedy tonight.
skin_bonus-30000202,Dorm - Poster
skin_bonus-10000203,Spooky Kitty
skin_bonus-20000203,A kitty of unknown origins//c or perhaps someone dressed it up to the point of being an unrecognizable little monster. It likes to jump onto people as if it is in search of something... It's probably better to not investigate too deeply into this.
skin_bonus-30000203,Dorm - Pet
skin_bonus-10000204,Halloween Fright
skin_bonus-20000204,A precious photograph taken at a party on a Halloween night. After the lively party was over//c Gr G11 who was totally asleep was left there for the night.
skin_bonus-30000204,Dorm - Poster
skin_bonus-10000301,Demon Hunter
skin_bonus-20000301,A photo of Thompson taken during battle. Even a hunter like her can make a mistake sometimes//c but it is only because of her scars that she is this elegant and reliable.
skin_bonus-30000301,Appearance - Icon
skin_bonus-10000302,Black Sports Motorcycle
skin_bonus-20000302,AEK999's beloved vehicle. Because she changes her attire before going out for a ride//c only her close riding buddies know of the existence of this vehicle.
skin_bonus-30000302,Furniture - Floor Decoration
skin_bonus-10000303,Theatre Performance
skin_bonus-20000303,A photograph of the theatre before the start of the performance. Everything is under control//c except for what the Commander has wreaked upon his arrival.
skin_bonus-30000303,Construction - Base Background
skin_bonus-10000101,Christmas Snow Pixie
skin_bonus-20000101,A Christmas moment from Miss Suomi//c though nobody is entirely sure what happened. "I bet you anything her skirt got flipped//c" said AK47//c "Though I don't know what's so embarrassing about it. It's just us//c plus an extra commander." "That's what you'd call A+ acting//c" snickered Makarov.
skin_bonus-30000101,Appearance - Icon
skin_bonus-10000102,Kvass Tank
skin_bonus-20000102,Authentic kvass. Only those who will drink it to their heart's content deserve its delicious taste.
skin_bonus-30000102,Furniture - Floor Decoration
skin_bonus-10000103,The Feast on Christmas Eve
skin_bonus-20000103,A precious photo taken before the feast on Christmas Eve. Precious because both the T-Dolls and the food were in ghastly state after the feast had started.
skin_bonus-30000103,Furniture - Poster
skin_bonus-10000104,Christmas Eve Lodge
skin_bonus-20000104,Although they say Christmas and presents are inseparable...you should still leave some room to walk through.
skin_bonus-30000104,Construction - Base Background
skin_bonus-10000401,The Smile of the Goddess of Red Packets
skin_bonus-20000401,Those who received a red packet were very happy//c and Miss Gd DSR-50 also received a new nickname.
skin_bonus-30000401,Appearance - Icon
skin_bonus-10000402,Spring Festival Bar
skin_bonus-20000402,The elaborately decorated banquet hall by M590 on Chinese New Year's Eve features an Oriental-style bar.
skin_bonus-30000402,Construction - Base Background
skin_bonus-10000403,Epitome of Femininity
skin_bonus-20000403,Blooming only after the rest withers//c it is revered as the empress of flowers. Praised for its unparalleled splendor//c it is the first to bestow the worldly realm with its fragrant savor.
skin_bonus-30000403,Appearance - ID Card
skin_bonus-10000501,Melancholic Bride
skin_bonus-20000501,A picture of an expression that does not seem to match her attire. It is exactly this sense of dissonance that makes this photo worth saving.
skin_bonus-30000501,Appearance - Icon
skin_bonus-10000502,Elite N.E.E.T. Sign
skin_bonus-20000502,Another sign that reveals the true purpose of life. But is this "truth" reality?
skin_bonus-30000502,Furniture - Poster
skin_bonus-10000503,Wedding Curtains
skin_bonus-20000503,The bouquets on the curtains remind you of that sweet moment//c even if it is filled with happiness that is not your own.
skin_bonus-30000503,Furniture - Floor Decoration
skin_bonus-10000504,Cathedral
skin_bonus-20000504,You can't help but be serious when you enter this solemn building. The promises made here may be the sincerest of them all.
