enemy_illustration_skill-10000001,Normal Shot
enemy_illustration_skill-20000001,Attack the enemy unit closest to itself.
enemy_illustration_skill-10000002,Standard Shot
enemy_illustration_skill-20000002,Attack the enemy units in the front row.
enemy_illustration_skill-10000003,Normal Strike
enemy_illustration_skill-20000003,Attack the enemy unit closest to itself with a melee weapon.
enemy_illustration_skill-10000004,SWAP Guard
enemy_illustration_skill-20000004,Deploy a shield with 30% of her max HP//c lasting 6 seconds. While the shield is up//c enemy units cannot perform normal attacks.
enemy_illustration_skill-10000005,SWAP Jaeger
enemy_illustration_skill-20000005,After aiming for 2.5 seconds//c perform a sniping attack on the rearmost enemy unit.
enemy_illustration_skill-10000006,SWAP Striker Machine Gun Skill
enemy_illustration_skill-20000006,Uses a machine gun to attack enemy units in the front row.
enemy_illustration_skill-10000007,SWAP Dragoon
enemy_illustration_skill-20000007,The Dragoon charges at the start of battle//c approaching enemy units at high speed. After entering attack range//c charge status is removed.
enemy_illustration_skill-10000008,Accurate Strike
enemy_illustration_skill-20000008,Launch shells at a random enemy unit in the back row. After the warning//c it does relatively high damage to its target.
enemy_illustration_skill-10000009,Aegis Defense
enemy_illustration_skill-20000009,Deploy a shield with 30% of her max HP//c lasting 6 seconds. While the shield is up//c enemy units cannot perform normal attacks.
enemy_illustration_skill-10000010,Nemeum Cannon
enemy_illustration_skill-20000010,Fire a cannon round at enemy units in the front row.
enemy_illustration_skill-10000011,Self-Destruct
enemy_illustration_skill-20000011,Detonates itself upon detecting enemy units//c doing massive damage.
enemy_illustration_skill-10000012,Jupiter Bombardment
enemy_illustration_skill-20000012,Fire a powerful cannon shell. If it is encircled and deprived of power//c only its point-defense weapons will be operational.
enemy_illustration_skill-10000013,Manticore Shot
enemy_illustration_skill-20000013,Attack the enemy units in the front row.
enemy_illustration_skill-10000014,Cerynitis Shot
enemy_illustration_skill-20000014,Fairly long-ranged. Attack enemy units in the front row with rapid-fire autocannons.
enemy_illustration_skill-10000015,Cyclops Rifle
enemy_illustration_skill-20000015,Damage enemy units in the front row with a rifle.
enemy_illustration_skill-10000016,Cyclops - Grenade
enemy_illustration_skill-20000016,Launch a HE grenade at a random enemy unit//c doing area damage.
enemy_illustration_skill-10000017,Cyclops - Shotgun
enemy_illustration_skill-20000017,Attack the three closest enemy units with a shotgun.
enemy_illustration_skill-10000018,Strafe
enemy_illustration_skill-20000018,After every 3rd attack//c the Hydra performs a sweeping attack which does great damage to all enemy units within a certain radius.
enemy_illustration_skill-10000019,Dactyl Minelaying
enemy_illustration_skill-20000019,Move forward and start laying mines upon detecting enemy units. Mines are triggered when an enemy unit touches them//c doing damage.
enemy_illustration_skill-10000020,EMP Cannon
enemy_illustration_skill-20000020,After charging up//c the EMP cannon does piercing damage to all enemy units in the same horizontal row.
enemy_illustration_skill-10000021,Production
enemy_illustration_skill-20000021,Start spawning continuous swarms of bipedal Pathfinders upon detecting enemy units.
enemy_illustration_skill-10000022,Close-Range Strike
enemy_illustration_skill-20000022,Stop moving upon contact with enemy units and damage them.
enemy_illustration_skill-10000023,Demolition Arrow
enemy_illustration_skill-20000023,Fire an explosive arrow at flagged locations//c dealing armor-piercing damage and setting the ground on fire. Units on burning ground take 3 seconds of burn damage.
enemy_illustration_skill-10000024,Intricate Defense
