tutorial_guide-10000100,Basic Tactics
tutorial_guide-20000100,These are the basic tactics for commanding a battle. Send out your echelons once you master them!
tutorial_guide-10000101,Obtaining T-Dolls
tutorial_guide-20000101,First//c you must understand how to construct Tactical Dolls.
tutorial_guide-10000102,T-Doll Improvement
tutorial_guide-20000102,Let's learn about the various ways in which you can improve your T-Dolls!
tutorial_guide-10000103,T-Doll Enhancement
tutorial_guide-20000103,Strengthening your T-Dolls' attributes is a vital part of improving their fighting power.
tutorial_guide-10000104,Dummy-Linking
tutorial_guide-20000104,This links Dummies to your T-Dolls and provides a noticeable improvement in combat effectiveness.
tutorial_guide-10000105,Skill Improvement
tutorial_guide-20000105,Don't forget to level up your T-Dolls' skills!
tutorial_guide-10000106,Battle Technique
tutorial_guide-20000106,Make sure your echelon is in a proper formation; this might prove to be of vital importance in combat!
tutorial_guide-10000200,Novice Tactics
tutorial_guide-20000200,Starting to battles more difficult? Study the contents of this section to improve your combat ability!
tutorial_guide-10000201,Equipment Improvement
tutorial_guide-20000201,It's time to produce more gear for your Tactical Dolls.
tutorial_guide-10000202,Obtaining Higher-Rarity T-Dolls
tutorial_guide-20000202,To obtain higher-rarity T-Dolls//c you will need to use the "Heavy Production" function.
tutorial_guide-10000300,Intermediate Tactics
tutorial_guide-20000300,Tactical Fairies have been introduced in Griffin. Understanding them will make your battles more successful!
tutorial_guide-10000301,Obtaining Fairies
tutorial_guide-20000301,Bring Tactical Fairies into the fight!
tutorial_guide-10000302,Fairy Tactics
tutorial_guide-20000302,Skillful use of fairies will make battles go smoother!
tutorial_guide-10000400,Advanced Tactics
tutorial_guide-20000400,We face an increasingly ruthless battlefield. Upgrade your T-Dolls' neural clouds and deploy the Heavy Ordnance Corps!
tutorial_guide-10000401,Neural Upgrade
tutorial_guide-20000401,It's is time to upgrade their neural clouds. Please help them overcome their limits.
tutorial_guide-10000402,Mustering Heavy Firepower
tutorial_guide-20000402,We are ready to deploy Heavy Ordnance Corps. Please proceed to research and develop them.
tutorial_guide-10000403,Battlefield Support
tutorial_guide-20000403,Are battles getting too difficult? Perhaps battlefield support from the Heavy Ordnance Corps can help turn the tide.
tutorial_guide-10000500,T-Doll Costumes
tutorial_guide-20000500,Everyone needs a little joy in their lives outside the battlefield//c for instance pretty clothes and a nice dorm room for the T-Dolls back in the base.
tutorial_guide-10000501,Purchasing T-Doll Costumes
tutorial_guide-20000501,Decorate the dorms and dress up the T-Dolls. Beauty is justice!
tutorial_guide-10000502,Gift-Giving
tutorial_guide-20000502,Give the T-Dolls a little something from time to time to encourage them.
tutorial_guide-10000503,
tutorial_guide-20000503,
tutorial_guide-10000504,
tutorial_guide-20000504,
tutorial_guide-10000600,Base Diplomacy
tutorial_guide-20000600,Meet more Commanders! Having more friends is never a bad thing.
tutorial_guide-10000601,Making Friends
tutorial_guide-20000601,Why struggle alone when you can triumph together?
tutorial_guide-10000700,Autonomous Management
tutorial_guide-20000700,Want to reap some extra reward while off-duty? Then try setting up some automated tasks before knocking off!
tutorial_guide-10000701,Logistics Support
tutorial_guide-20000701,Send your forces out to perform logistical tasks and return with supplies as payment.
tutorial_guide-10000702,Auto-Battle
tutorial_guide-20000702,After ordering an Auto-Battle//c the T-Dolls will head into battle on their own and return with mission rewards and experience.
tutorial_guide-10000703,
tutorial_guide-20000703,
