tutorial_manual-10000100,Commander Information
tutorial_manual-20000100,Please understand the information related to your being a Commander.
tutorial_manual-10000101,Basic Information
tutorial_manual-20000101,You can check your basic and career data here.
tutorial_manual-10000102,Regarding Adjutants
tutorial_manual-20000102,Pick the adjutant that you prefer.
tutorial_manual-10000103,Base background
tutorial_manual-20000103,Obtain more base backgrounds and change them.
tutorial_manual-10000104,Commander Costume
tutorial_manual-20000104,Obtain more Commander clothing and change between them.
tutorial_manual-10000105,MAIL
tutorial_manual-20000105,
tutorial_manual-10000106,Rank
tutorial_manual-20000106,
tutorial_manual-10000107,QUEST
tutorial_manual-20000107,
tutorial_manual-10000108,Setting
tutorial_manual-20000108,
tutorial_manual-10000109,INDEX
tutorial_manual-20000109,
tutorial_manual-10000200,Raising T-Dolls
tutorial_manual-20000200,You need to know this to strengthen your Tactical Dolls.
tutorial_manual-10000201,T-Doll Types
tutorial_manual-20000201,Learn about the characteristics of different Tactical Dolls.
tutorial_manual-10000202,T-Doll Construction
tutorial_manual-20000202,Please build more T-Dolls in the Factory.
tutorial_manual-10000203,Dummy Link
tutorial_manual-20000203,Dummy-Linking T-Dolls improves their fighting power and experience gains.
tutorial_manual-10000204,T-Doll Repair
tutorial_manual-20000204,Please repair damaged T-Dolls early on.
tutorial_manual-10000205,T-Doll Level Up
tutorial_manual-20000205,Experience//c which can be gained through various means//c increases your T-Dolls' levels.
tutorial_manual-10000206,Dismantle T-Doll
tutorial_manual-20000206,Scrapping T-Dolls gives your resources. High-rarily T-Dolls even yield extra Cores. 
tutorial_manual-10000207,T-Doll Enhancement
tutorial_manual-20000207,You can raise T-Dolls' attributes through T-Doll Enhancement.
tutorial_manual-10000208,T-Doll Skills
tutorial_manual-20000208,Careful use of your T-Dolls' skills can make or break a battle.
tutorial_manual-10000209,T-Doll Heavy Production
tutorial_manual-20000209,Obtain higher-rarity T-Dolls though Heavy Production.
tutorial_manual-10000210,Affection
tutorial_manual-20000210,You need to do these to increase your T-Dolls' Affection.
tutorial_manual-10000211,Neural Upgrade
tutorial_manual-20000211,Surpass your T-Dolls' ability limits.
tutorial_manual-10000212,Neural Upgrade
tutorial_manual-20000212,
tutorial_manual-10000300,A Guide to Equipment
tutorial_manual-20000300,Proper assignment of equipment will improve combat effectiveness.
tutorial_manual-10000301,Produce Equipment
tutorial_manual-20000301,Build Equipment in the Factory.
tutorial_manual-10000302,Equipment Enhancement
tutorial_manual-20000302,Enhance your equipment to improve its attributes.
tutorial_manual-10000303,Equipment Calibration
tutorial_manual-20000303,Allows you to refresh your equipment's attributes.
tutorial_manual-10000304,Equipment Exchange
tutorial_manual-20000304,Sensible allocation of equipment lets you do more with less.
tutorial_manual-10000305,Equipment Calibration
tutorial_manual-20000305,
tutorial_manual-10000400,Tactical Fairy
tutorial_manual-20000400,Bring Tactical Fairies into the fight!
tutorial_manual-10000401,Fairy Types
tutorial_manual-20000401,Different Fairies have different uses.
tutorial_manual-10000402,Fairy Production
tutorial_manual-20000402,You can obtain Fairies from Equipment Heavy Production.
tutorial_manual-10000403,Fairy Skills
tutorial_manual-20000403,Through Skill Training//c you can improve a Fairy's Skill.
tutorial_manual-10000404,Fairy Calibration
tutorial_manual-20000404,Calibration allows you to reroll a Fairy's Talent.
tutorial_manual-10000405,Fairy Enhancement
tutorial_manual-20000405,Enhancing Fairies makes them more effective.
tutorial_manual-10000406,Fairy Chamber
tutorial_manual-20000406,You can manage and inspect relevant facilities inside the Fairy Lodge.
tutorial_manual-10000407,Fairy Chamber
tutorial_manual-20000407,
tutorial_manual-10000500,HOC
tutorial_manual-20000500,Now that the Heavy Ordnance Corps have been rolled out//c we might be able to turn the battlefield situation around.
tutorial_manual-10000501,Developing the Heavy Ordnance Corps
tutorial_manual-20000501,Research and develop Heavy Ordnance Corps by analyzing data.
tutorial_manual-10000502,Improving your Heavy Ordnance Corps
tutorial_manual-20000502,Please keep enhancing your Heavy Ordnance Corps!
tutorial_manual-10000503,Heavy Ordnance Circuits
tutorial_manual-20000503,Install chips into the Heavy Ordnance Circuits to further improve their effectiveness.
tutorial_manual-10000504,Garage
tutorial_manual-20000504,You can inspect and manage your Heavy Ordnance Corps in the Garage.
tutorial_manual-10000505,
tutorial_manual-20000505,
tutorial_manual-10000506,
tutorial_manual-20000506,
tutorial_manual-10000507,
tutorial_manual-20000507,
tutorial_manual-10000508,Garage
tutorial_manual-20000508,
tutorial_manual-10000509,Intelligence Center
tutorial_manual-20000509,
tutorial_manual-10000600,Combat Missions
tutorial_manual-20000600,Understand and challenge a wider variety of combat missions.
tutorial_manual-10000601,Combat//n<SIZE=25>Mission</SIZE>
tutorial_manual-20000601,Progress through main storyline missions.
tutorial_manual-10000602,Night
tutorial_manual-20000602,Your field of vision is very important during night missions.
tutorial_manual-10000603,Auto-Battle
tutorial_manual-20000603,T-Dolls can proceed with missions you have already cleared on their own and return with rewards.
tutorial_manual-10000604,Logistic//n<SIZE=25>Support</SIZE>
tutorial_manual-20000604,Obtain additional supplies through logistic missions.
