commander_class-10000010,Doomsday Camo
commander_class-20000010,"It's obvious from your immaculate clothes are that you've been slacking. Here//c roll around in this mud pit."
commander_class-30000010,2019
commander_class-10000011,Griffin Standard Uniform
commander_class-20000011,The standard uniform you're issued upon joining Griffin. You'll be wearing it from your induction to your final battle before you head home and get married.
commander_class-30000011,2019
commander_class-10000012,Griffin Summer Activities
commander_class-20000012,Attention: Artificial sunlight and the beach will be shut down in 40 minutes. Please make the most of the remaining time.
commander_class-30000012,2019
commander_class-10000013,Special Ops Protective Suit
commander_class-20000013,A suit to counter high radiation environments. Before you go on your next journey//c put it on and take some pictures with the T-Dolls amidst the flowers.
commander_class-30000013,2019
commander_class-10000014,Summer Night Moonlight
commander_class-20000014,We use yukatas to commemorate the fleeting summer nights.
commander_class-30000014,2019
commander_class-10000015,Fission Halo
commander_class-20000015,War is cruel. Those who keep winning are not just lucky//c but also immensely powerful.
commander_class-30000015,2019
commander_class-10000016,I'm Not a Delinquent
commander_class-20000016,Are you ready? Put on this getup and stand on the apex of this desk!
commander_class-30000016,2020
commander_class-10000017,Scary Champion's Secret Props
commander_class-20000017,Our guest today is the long-standing champion of the Halloween Scary Contest! Let's uncover the secret of what it takes to be the champion...
commander_class-30000017,2019
commander_class-10000018,Journey in the Auspicious Snow
commander_class-20000018,Why does Santa Claus have to give out presents//c someone asked. "Maybe he wants to connect people//c I guess?" the reindeer answered nonchalantly.
commander_class-30000018,2019
commander_class-10000099,Mask of Deception
commander_class-20000099,Hide your thoughts and embody your desire.
commander_class-30000099,2019
commander_class-10000019,Luck and Good Fortune
commander_class-20000019,Open your heart and usher in a new year with your Dolls. A lifetime can pass in just the blink of an eye//c but memories endure. They will be preserved and passed on.
commander_class-30000019,2020
commander_class-10000020,Jaws
commander_class-20000020,The designer had hoped to convey how the Commander fights like a vicious shark through this design//c but things don't always go the way they're intended to...
commander_class-30000020,2020
commander_class-10000021,Leisurely Spring Nap
commander_class-20000021,You work so that you can enjoy the feeling of relaxation when you get home.
commander_class-30000021,2020
commander_class-10000022,Dream of 300 Girls
commander_class-20000022,This is a miraculous hat. Put it on and it'll give you a halo so bright all the Dolls that see you will stare longingly and even drool hungrily at you...
commander_class-30000022,2020
