achievement-10000001,A Little Interest
achievement-20000001,Unlock 10 different T-Dolls.
achievement-30000001,
achievement-10000002,Amateur Hobby
achievement-20000002,Unlock 20 different T-Dolls.
achievement-30000002,
achievement-10000003,Professional Appraisal
achievement-20000003,Unlock 40 different T-Dolls.
achievement-30000003,
achievement-10000004,Insane Otaku
achievement-20000004,Unlock 60 different T-Dolls.
achievement-30000004,
achievement-10000005,Collection Tycoon
achievement-20000005,Unlock 80 different T-Dolls.
achievement-30000005,
achievement-10000006,Museum Curator
achievement-20000006,Unlock 120 different T-Dolls.
achievement-30000006,
achievement-10000007,Novice Collector: HG
achievement-20000007,Unlock 5 different HG type T-Dolls.
achievement-30000007,
achievement-10000008,Trainee Collector: HG
achievement-20000008,Unlock 10 different HG type T-Dolls.
achievement-30000008,
achievement-10000009,Advanced Collector: HG
achievement-20000009,Unlock 20 different HG type T-Dolls.
achievement-30000009,
achievement-10000010,Expert Collector: HG
achievement-20000010,Unlock 30 different HG type T-Dolls.
achievement-30000010,
achievement-10000011,Novice Collector: SMG
achievement-20000011,Unlock 3 different SMG type T-Dolls.
achievement-30000011,
achievement-10000012,Trainee Collector: SMG
achievement-20000012,Unlock 10 different SMG type T-Dolls.
achievement-30000012,
achievement-10000013,Advanced Collector: SMG
achievement-20000013,Unlock 20 different SMG type T-Dolls.
achievement-30000013,
achievement-10000014,Expert Collector: SMG
achievement-20000014,Unlock 30 different SMG type T-Dolls.
achievement-30000014,
achievement-10000015,Novice Collector: RF
achievement-20000015,Unlock 3 different RF type T-Dolls.
achievement-30000015,
achievement-10000016,Trainee Collector: RF
achievement-20000016,Unlock 10 different RF type T-Dolls.
achievement-30000016,
achievement-10000017,Advanced Collector: RF
achievement-20000017,Unlock 20 different RF type T-Dolls.
achievement-30000017,
achievement-10000018,Expert Collector: RF
achievement-20000018,Unlock 30 different RF type T-Dolls.
achievement-30000018,
achievement-10000019,Novice Collector: AR
achievement-20000019,Unlock 3 different AR type T-Dolls.
achievement-30000019,
achievement-10000020,Trainee Collector: AR
achievement-20000020,Unlock 10 different AR type T-Dolls.
achievement-30000020,
achievement-10000021,Advanced Collector: AR
achievement-20000021,Unlock 20 different AR type T-Dolls.
achievement-30000021,
achievement-10000022,Expert Collector: AR
achievement-20000022,Unlock 30 different AR type T-Dolls.
achievement-30000022,
achievement-10000023,Novice Collector: MG
achievement-20000023,Unlock 3 different MG type T-Dolls.
achievement-30000023,
achievement-10000024,Trainee Collector: MG
achievement-20000024,Unlock 10 different MG type T-Dolls.
achievement-30000024,
achievement-10000025,Advanced Collector: MG
achievement-20000025,Unlock 20 different MG type T-Dolls.
achievement-30000025,
achievement-10000026,Expert Collector: MG
achievement-20000026,Unlock 30 different MG type T-Dolls.
achievement-30000026,
achievement-10000027,Honorable Gift
achievement-20000027,Acquire first 3-star T-Doll.
achievement-30000027,
achievement-10000028,A Miracle Lottery
achievement-20000028,Acquire first 4-star T-Doll.
achievement-30000028,
achievement-10000029,A Fateful Encounter
achievement-20000029,Acquire first 5-star T-Doll.
achievement-30000029,
achievement-10000030,Rookie Commander
achievement-20000030,Acquire 5 Bronze Medals.
achievement-30000030,
achievement-10000031,Internal Commander
achievement-20000031,Acquire 10 Bronze Medals.
achievement-30000031,
achievement-10000032,Commander
achievement-20000032,Acquire 20 Bronze Medals.
achievement-30000032,
achievement-10000033,Advanced Commander
achievement-20000033,Acquire 30 Bronze Medals.
achievement-30000033,
achievement-10000034,Elite Commander
achievement-20000034,Acquire 40 Bronze Medals.
achievement-30000034,
achievement-10000035,Seasoned Commander
achievement-20000035,Acquire 50 Bronze Medals.
achievement-30000035,
achievement-10000036,Rookie Tactician
achievement-20000036,Acquire 5 Silver Medals.
achievement-30000036,
achievement-10000037,Intern Tactician
achievement-20000037,Acquire 10 Silver Medals.
achievement-30000037,
achievement-10000038,Tactician
achievement-20000038,Acquire 20 Silver Medals.
achievement-30000038,
achievement-10000039,Advanced Tactician
achievement-20000039,Acquire 30 Silver Medals.
achievement-30000039,
achievement-10000040,Elite Tactician
achievement-20000040,Acquire 40 Silver Medals.
achievement-30000040,
achievement-10000041,Senior Tactician
achievement-20000041,Acquire 50 Silver Medals.
achievement-30000041,
achievement-10000042,Rookie Officer
achievement-20000042,Acquire 5 Gold Medals.
achievement-30000042,
achievement-10000043,Intern Officer
achievement-20000043,Acquire 10 Gold Medals.
achievement-30000043,
achievement-10000044,Sergeant First Class
achievement-20000044,Acquire 20 Gold Medals.
achievement-30000044,
achievement-10000045,Advanced Sergeant
achievement-20000045,Acquire 30 Gold Medals.
achievement-30000045,
achievement-10000046,Elite Sergeant
achievement-20000046,Acquire 40 Gold Medals.
achievement-30000046,
achievement-10000047,Senior Chief Officer
achievement-20000047,Acquire 50 Gold Medals.
achievement-30000047,
achievement-10000048,Heh//c Surprise!
achievement-20000048,Step on any random node once.
achievement-30000048,
achievement-10000049,What If We Win?
achievement-20000049,Step on any random node 10 times.
achievement-30000049,
achievement-10000050,News Lovers
achievement-20000050,Step on any random node 100 times.
achievement-30000050,
achievement-10000051,Magical Remote Control
achievement-20000051,Step on any random node 500 times.
achievement-30000051,
achievement-10000052,Virtual Life
achievement-20000052,Step on any random node 1//c000 times.
achievement-30000052,
achievement-10000053,Schrödinger's Cat
achievement-20000053,Step on any random node 5//c000 times.
achievement-30000053,
achievement-10000054,God Does Not Play Dice
achievement-20000054,Step on any random node 10//c000 times.
achievement-30000054,
achievement-10000055,First Blood
achievement-20000055,Eliminate 1 enemy in a victorious battle.
achievement-30000055,
achievement-10000056,War Machine
achievement-20000056,Eliminate 100 enemies in victorious battles.
achievement-30000056,
achievement-10000057,Incomparable
achievement-20000057,Eliminate 1//c000 enemies in victorious battles.
achievement-30000057,
achievement-10000058,Tales of Valkyries
achievement-20000058,Eliminate 5//c000 enemies in victorious battles.
achievement-30000058,
achievement-10000059,Day of Wrath
achievement-20000059,Eliminate 10//c000 enemies in victorious battles.
achievement-30000059,
achievement-10000060,The Lifeless Emperor
achievement-20000060,Eliminate 50//c000 enemies in victorious battles.
achievement-30000060,
achievement-10000061,It's Over 90//c000
achievement-20000061,Eliminate 100//c000 enemies in victorious battles.
achievement-30000061,
achievement-10000062,The End is a New Beginning
achievement-20000062,Lose 1 battle.
achievement-30000062,
achievement-10000063,Phantom Pain
achievement-20000063,Lose 10 battles.
achievement-30000063,
achievement-10000064,Game Over
achievement-20000064,Lose 100 battles.
achievement-30000064,
achievement-10000065,They Just Fade Away……
achievement-20000065,Lose 500 battles.
achievement-30000065,
achievement-10000066,Deadly Magic
achievement-20000066,Lose 1//c000 Battles.
achievement-30000066,
achievement-10000067,Old Hunter
achievement-20000067,Lose 5//c000 Battles.
achievement-30000067,
achievement-10000068,Miss Undead
achievement-20000068,Lose 10//c000 Battles.
achievement-30000068,
achievement-10000069,Memorable Moment
achievement-20000069,Clear any mission once.
achievement-30000069,
achievement-10000070,Rocking the Battlefield
achievement-20000070,Clear any mission 10 times.
achievement-30000070,
achievement-10000071,Medal of Honor
achievement-20000071,Clear any mission 100 times.
achievement-30000071,
achievement-10000072,The Great Adventurer
achievement-20000072,Clear any mission 500 times.
achievement-30000072,
achievement-10000073,Moment of Glory
achievement-20000073,Clear any mission 1//c000 times.
achievement-30000073,
achievement-10000074,Abysswalker
achievement-20000074,Clear any mission 5//c000 times.
achievement-30000074,
achievement-10000075,Roar of Victory
