carnival_task_type-10000001,Total Login
carnival_task_type-20000001,Total login: {0} Days.
carnival_task_type-10000002,A Ship Named Friend
carnival_task_type-20000002,Gather {0} likes during the event.
carnival_task_type-10000003,T-Doll Production
carnival_task_type-20000003,Consume T-Doll Contract * {0} in total.
carnival_task_type-10000004,Training Data
carnival_task_type-20000004,Consume Basic Training Data * {0} in total.
carnival_task_type-10000005,Training Data
carnival_task_type-20000005,Consume Intermediate Training Data * {0} in total.
carnival_task_type-10000006,Training Data
carnival_task_type-20000006,Consume Advanced Training Data * {0} in total.
carnival_task_type-10000007,Combat Report
carnival_task_type-20000007,Consume Combat Report * {0}.
carnival_task_type-10000008,Test Your Luck
carnival_task_type-20000008,Produce 4-star T-Doll * {0} in total.
carnival_task_type-10000009,Test Your Luck
carnival_task_type-20000009,Produce 5-star T-Doll * {0} in total.
carnival_task_type-10000010,Collecting Batteries
carnival_task_type-20000010,Obtain Battery * {0} in total.
carnival_task_type-10000011,Combat Mission
carnival_task_type-20000011,Challenge and win a Combat Mission {0} times. (Including Isomer stages)
carnival_task_type-10000012,Skill Training
carnival_task_type-20000012,Perform T-Doll/Fairy Skill Training * {0} in total.
carnival_task_type-10000013,Support Echelon
carnival_task_type-20000013,Deploy Support Echelon * {0} in total.
carnival_task_type-10000014,Logistic Support
carnival_task_type-20000014,Complete {0} hours of Logistic Support in total.
carnival_task_type-10000015,T-Doll Rescue
carnival_task_type-20000015,Rescue {0} T-Dolls in total from missions or battles. (Including rescues from Isomer//c while Auto-Battles do not count)
carnival_task_type-10000016,Time-limited Resupply
carnival_task_type-20000016,Consume Token * {0} in total.
carnival_task_type-10000017,T-Doll Repair
carnival_task_type-20000017,Repair T-Dolls {0} times in total.
carnival_task_type-10000018,Energy Consumption(Including Extra Energy)
carnival_task_type-20000018,Consume Energy * {0} in total.
carnival_task_type-10000019,Calibration Tickets
carnival_task_type-20000019,Consume Calibration Tickets * {0} in total.
carnival_task_type-10000020,Ambassador of Likes
carnival_task_type-20000020,Like other's dorm {0} times during the event.
carnival_task_type-10000021,Ammo Consumption
carnival_task_type-20000021,Consume Ammo * {0} in total.
carnival_task_type-10000022,Normal Battle Challenge
carnival_task_type-20000022,Clear any Normal maps {0} times.
carnival_task_type-10000023,Emergency Battle Challenge
carnival_task_type-20000023,Clear any Emergency maps {0} times.
carnival_task_type-10000024,Night Battle
carnival_task_type-20000024,Clear any Night maps {0} times.
carnival_task_type-10000025,Battle Master
carnival_task_type-20000025,Clear {0} battles with S rank. (Including Isomer stages)
carnival_task_type-10000026,Logistic Support
carnival_task_type-20000026,Complete Logistic Support {0} times.
carnival_task_type-10000027,EXP Mode
carnival_task_type-20000027,Clear Combat Sim - EXP Mode {0} times.
carnival_task_type-10000028,Capsule Mode
carnival_task_type-20000028,Clear Combat Sim - Capsule Mode {0} times.
carnival_task_type-10000029,Data Mode
carnival_task_type-20000029,Clear Combat Sim - Data Mode {0} times.
