main_quest-10000001,Mission Accomplished: Normal 1-1
main_quest-20000001,Complete Normal 1-1 for the first time to acquire the bronze medal.
main_quest-10000002,Mission Accomplished: Normal 1-2
main_quest-20000002,Complete Normal 1-2 for the first time to acquire the bronze medal.
main_quest-10000003,Mission Accomplished: Normal 1-3
main_quest-20000003,Complete Normal 1-3 for the first time to acquire the bronze medal.
main_quest-10000004,Mission Accomplished: Normal 1-4
main_quest-20000004,Complete Normal 1-4 for the first time to acquire the bronze medal.
main_quest-10000005,Mission Accomplished: Normal 1-5
main_quest-20000005,Complete Normal 1-5 for the first time to acquire the bronze medal.
main_quest-10000006,Mission Accomplished: Normal 1-6
main_quest-20000006,Complete Normal 1-6 for the first time to acquire the bronze medal.
main_quest-10000007,Mission Accomplished: Normal 2-1
main_quest-20000007,Complete Normal 2-1 for the first time to acquire the bronze medal.
main_quest-10000008,Mission Accomplished: Normal 2-2
main_quest-20000008,Complete Normal 2-2 for the first time to acquire the bronze medal.
main_quest-10000009,Mission Accomplished: Normal 2-3
main_quest-20000009,Complete Normal 2-3 for the first time to acquire the bronze medal.
main_quest-10000010,Mission Accomplished: Normal 2-4
main_quest-20000010,Complete Normal 2-4 for the first time to acquire the bronze medal.
main_quest-10000011,Mission Accomplished: Normal 2-5
main_quest-20000011,Complete Normal 2-5 for the first time to acquire the bronze medal.
main_quest-10000012,Mission Accomplished: Normal 2-6
main_quest-20000012,Complete Normal 2-6 for the first time to acquire the bronze medal.
main_quest-10000013,Mission Accomplished: Normal 3-1
main_quest-20000013,Complete Normal 3-1 for the first time to acquire the bronze medal.
main_quest-10000014,Mission Accomplished: Normal 3-2
main_quest-20000014,Complete Normal 3-2 for the first time to acquire the bronze medal.
main_quest-10000015,Mission Accomplished: Normal 3-3
main_quest-20000015,Complete Normal 3-3 for the first time to acquire the bronze medal.
main_quest-10000016,Mission Accomplished: Normal 3-4
main_quest-20000016,Complete Normal 3-4 for the first time to acquire the bronze medal.
main_quest-10000017,Mission Accomplished: Normal 3-5
main_quest-20000017,Complete Normal 3-5 for the first time to acquire the bronze medal.
main_quest-10000018,Mission Accomplished: Normal 3-6
main_quest-20000018,Complete Normal 3-6 for the first time to acquire the bronze medal.
main_quest-10000019,Mission Accomplished: Normal 4-1
main_quest-20000019,Complete Normal 4-1 for the first time to acquire the bronze medal.
main_quest-10000020,Mission Accomplished: Normal 4-2
main_quest-20000020,Complete Normal 4-2 for the first time to acquire the bronze medal.
main_quest-10000021,Mission Accomplished: Normal 4-3
main_quest-20000021,Complete Normal 4-3 for the first time to acquire the bronze medal.
main_quest-10000022,Mission Accomplished: Normal 4-4
main_quest-20000022,Complete Normal 4-4 for the first time to acquire the bronze medal.
main_quest-10000023,Mission Accomplished: Normal 4-5
main_quest-20000023,Complete Normal 4-5 for the first time to acquire the bronze medal.
main_quest-10000024,Mission Accomplished: Normal 4-6
main_quest-20000024,Complete Normal 4-6 for the first time to acquire the bronze medal.
main_quest-10000025,Mission Accomplished: Emergency 1-1
main_quest-20000025,Complete Emergency 1-1 for the first time to acquire the bronze medal.
main_quest-10000026,Mission Accomplished: Emergency 1-2
main_quest-20000026,Complete Emergency 1-2 for the first time to acquire the bronze medal.
main_quest-10000027,Mission Accomplished: Emergency 1-3
main_quest-20000027,Complete Emergency 1-3 for the first time to acquire the bronze medal.
