npc-9999999,Kalina
npc-19999999,Logistics Officer
npc-29999999,
npc-9999998,T77
npc-19999998,T77
npc-29999998,
npc-9999997,TGS
npc-19999997,TGS
npc-29999997,
npc-9999996,Helian
npc-19999996,Helian
npc-29999996,Clear Normal 1-2 to unlock
npc-9999995,Persica
npc-19999995,Persica
npc-29999995,Clear Normal 2-4 to unlock
npc-9999994,Kryuger
npc-19999994,Kryuger
npc-29999994,Clear Normal 5-2 to unlock
npc-9999993,Dier
npc-19999993,Dier
npc-29999993,Clear Deep Dive �C Cognitive Conundrum I to unlock
npc-9999992,Sier
npc-19999992,Sier
npc-29999992,Clear Deep Dive �C Cognitive Conundrum I to unlock
npc-9999991,Havier
npc-19999991,Havier
npc-29999991,Clear Normal 9-2 to unlock
npc-9999990,Angelia
npc-19999990,Angelia
npc-29999990,Clear Normal 10-1 to unlock
npc-9999989,K
npc-19999989,K
npc-29999989,Clear Emergency 11-4 to unlock
npc-9999988,Marlohe
npc-19999988,Marlohe
npc-29999988,Clear Emergency 11-4 to unlock
