mission_targettrain-10170101,Customized Target
mission_targettrain-20170101,【To familiarize Commanders with the more subtle nuances in different battles//c Griffin has developed the Target Practice System. Through the system//c you can run simulations against specific enemies with your echelons.】
mission_targettrain-10170102,Customized Target
mission_targettrain-20170102,【To familiarize Commanders with the more subtle nuances in different battles//c Griffin has developed the Target Practice System. Through the system//c you can run simulations against specific enemies with your echelons.】
mission_targettrain-10170103,Customized Target
mission_targettrain-20170103,【To familiarize Commanders with the more subtle nuances in different battles//c Griffin has developed the Target Practice System. Through the system//c you can run simulations against specific enemies with your echelons.】
mission_targettrain-10170104,Customized Target
mission_targettrain-20170104,【To familiarize Commanders with the more subtle nuances in different battles//c Griffin has developed the Target Practice System. Through the system//c you can run simulations against specific enemies with your echelons.】
mission_targettrain-10170105,Customized Target
mission_targettrain-20170105,【To familiarize Commanders with the more subtle nuances in different battles//c Griffin has developed the Target Practice System. Through the system//c you can run simulations against specific enemies with your echelons.】
mission_targettrain-10170201,Drill Target
mission_targettrain-20170201,【To familiarize Commanders with the more subtle nuances in different battles//c Griffin has developed the Target Practice System. Through the system//c you can run simulations against specific enemies with your echelons.】
mission_targettrain-10170202,Drill Target
mission_targettrain-20170202,【To familiarize Commanders with the more subtle nuances in different battles//c Griffin has developed the Target Practice System. Through the system//c you can run simulations against specific enemies with your echelons.】
mission_targettrain-10170203,Drill Target
mission_targettrain-20170203,【To familiarize Commanders with the more subtle nuances in different battles//c Griffin has developed the Target Practice System. Through the system//c you can run simulations against specific enemies with your echelons.】
mission_targettrain-10170204,Drill Target
mission_targettrain-20170204,【To familiarize Commanders with the more subtle nuances in different battles//c Griffin has developed the Target Practice System. Through the system//c you can run simulations against specific enemies with your echelons.】
mission_targettrain-10170205,Drill Target
mission_targettrain-20170205,【To familiarize Commanders with the more subtle nuances in different battles//c Griffin has developed the Target Practice System. Through the system//c you can run simulations against specific enemies with your echelons.】
mission_targettrain-10170301,Cerberus
mission_targettrain-20170301,Special Target – Cerberus. While this target is available//c the time and combat data of every attempt will be recorded to facilitate mutual learning among Commanders.
mission_targettrain-10170401,Yegor
mission_targettrain-20170401,Special Target – Yegor. While this target is available//c the time and combat data of every attempt will be recorded to facilitate mutual learning among Commanders.
mission_targettrain-10170501,Failed Isomer
mission_targettrain-20170501,Special Target – Failed Isomer. While this target is available//c the time and combat data of every attempt will be recorded to facilitate mutual learning among Commanders.
mission_targettrain-10170601,M16A1!
mission_targettrain-20170601,Special Target – M16A1. While this target is available//c the time and combat data of every attempt will be recorded to facilitate mutual learning among Commanders.
mission_targettrain-10170701,Intercepting Squadron
mission_targettrain-20170701,Special Target – Intercepting Squadron. While this target is available//c the time and combat data of every attempt will be recorded to facilitate mutual learning among Commanders.
mission_targettrain-10170801,
mission_targettrain-20170801,
mission_targettrain-10170901,
mission_targettrain-20170901,
mission_targettrain-10171001,
mission_targettrain-20171001,
mission_targettrain-10171501,Unavoidable Lie
mission_targettrain-20171501,【Targer Practice】Thanks to information obtained from【Il Teatrino】//c we can now simulate more powerful enemy units so Commanders may better prepare themselves. While the event is active//c challenge data and completion times will be recorded to help Commanders learn from each other.
