bingo_task-10000001,Normal Battle Challenge
bingo_task-20000001,Challenge and win a Normal Battle 3 times.
bingo_task-10000002,Night Battle Challenge
bingo_task-20000002,Challenge and win a Night Battle 1 time.
bingo_task-10000003,Emergency Battle Challenge
bingo_task-20000003,Challenge and win an Emergency Battle 2 times.
bingo_task-10000004,T-Doll Rescue
bingo_task-20000004,Rescue 5 T-Dolls in total from missions or battles(Auto-Battles do not count).
bingo_task-10000005,T-Doll Enhancement
bingo_task-20000005,Perform 5 T-Doll Enhancements.
bingo_task-10000006,Equipment Enhancement
bingo_task-20000006,Perform 5 Equipment Enhancements.
bingo_task-10000007,T-Doll Contract Consumption
bingo_task-20000007,Consume T-Doll Contract * 4 in total.
bingo_task-10000008,Equipment Contract Consumption
bingo_task-20000008,Consume Equipment Contract * 4 in total.
bingo_task-10000009,Quick Production Consumption
bingo_task-20000009,Consume Quick Production * 4 in total.
bingo_task-10000010,Quick Repair Consumption
bingo_task-20000010,Consume Quick Repair * 4 in total.
bingo_task-10000011,Manpower Consumption
bingo_task-20000011,Consume Manpower * 1//c500 (Auto-Battles do not count).
bingo_task-10000012,Ammo Consumption
bingo_task-20000012,Consume Ammo * 1//c500 (Auto-Battles do not count).
bingo_task-10000013,Ration Consumption
bingo_task-20000013,Consume Ration * 1//c500 (Auto-Battles do not count).
bingo_task-10000014,Parts Consumption
bingo_task-20000014,Consume Parts * 500 (Auto-Battles do not count).
bingo_task-10000015,Collecting Friend Batteries
bingo_task-20000015,Collect batteries from a friend's Dorm 10 times.
bingo_task-10000016,Collecting Hearts
bingo_task-20000016,Collect 10 hearts in total (from T-Dolls and Kalina).
bingo_task-10000017,Obtaining HG T-Dolls
bingo_task-20000017,Obtain Handgun T-Doll * 3.
bingo_task-10000018,Obtaining SMG T-Dolls
bingo_task-20000018,Obtain Submachine Gun T-Doll * 3.
bingo_task-10000019,Obtaining AR T-Dolls
bingo_task-20000019,Obtain Assault Rifle T-Doll * 3.
bingo_task-10000020,Obtaining MG T-Dolls
bingo_task-20000020,Obtain Machine Gun T-Doll * 3.
bingo_task-10000021,Obtaining RF T-Dolls
bingo_task-20000021,Obtain Rifle T-Doll * 3.
bingo_task-10000022,Equipment - Accessories
bingo_task-20000022,Obtain accessory * 3.
bingo_task-10000023,Equipment - Magazines
bingo_task-20000023,Obtain magazine * 3.
bingo_task-10000024,Equipment - Body Gears
bingo_task-20000024,Obtain body gear * 3.
bingo_task-10000025,Mission Report - Quick Production
bingo_task-20000025,Obtain Quick Production * 1 from Logistic Support.
bingo_task-10000026,Mission Report - Quick Repair
bingo_task-20000026,Obtain Quick Repair * 1 from Logistic Support.
bingo_task-10000027,Mission Report - Equipment Production Contract
bingo_task-20000027,Obtain Equipment Contract * 1 from Logistic Support.
bingo_task-10000028,Mission Report - T-Doll Contract
bingo_task-20000028,Obtain T-Doll Contract * 1 from Logistic Support.
bingo_task-10000029,Boss Kills
bingo_task-20000029,Eliminate 5 bosses in victorious battles.
bingo_task-10000030,Armored Machine Type SF Forces
bingo_task-20000030,Eliminate 10 armored machine type S.F. enemies in victorious battles.
bingo_task-10000031,Normal Machine Type SF Forces
bingo_task-20000031,Eliminate 20 normal machine type S.F. enemies in victorious battles.
bingo_task-10000032,Normal Human Type SF Forces
bingo_task-20000032,Eliminate 30 normal human type S.F. enemies in victorious battles.
bingo_task-10000033,Accumulative Logistic Support
bingo_task-20000033,Accumulate 12 hours of completed Logistic Support.
bingo_task-10000034,Combat Simulation
bingo_task-20000034,Perform 2 Combat Simulations in total.
bingo_task-10000035,Skill Training
bingo_task-20000035,Perform 1 Skill Training.
bingo_task-10000036,Battle Master
bingo_task-20000036,Clear 10 battles with S rank.
bingo_task-10000037,Auto-Battles
bingo_task-20000037,Complete 1 Auto-Battle.
bingo_task-10000038,Ambassador of Likes
bingo_task-20000038,Like others' Dorms 20 times in total.
bingo_task-10000039,Random Visit
bingo_task-20000039,Perform Random Visit 10 times
bingo_task-10000040,Gifting
bingo_task-20000040,Give 10 gifts in total.
bingo_task-10000041,Battery Consumption
bingo_task-20000041,Consume Battery * 100 in total.
bingo_task-10000042,Using Friend Echelon
bingo_task-20000042,Use a friend's Echelon 3 times in total.
bingo_task-10000043,Calibration Ticket Consumption
bingo_task-20000043,Consume Calibration Ticket * 30 in total.
