()||<BGM>BGM_Empty</BGM><BIN>9</BIN><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<黑屏2><BIN>202</BIN>:
()||<BGM>BGM_Room</BGM>:12時間前。
NPC-Kalin(0)<Speaker>カリーナ</Speaker>||:指揮官さま、IOPの方が……
()<Speaker>指揮官</Speaker>||:来たか、暗号化チャンネルに繋いで。
NPC-Kalin(1)<Speaker>カリーナ</Speaker>||:分かりました、少々お待ちを。
()||<SE1>AVG_tele_connect</SE1><BGM>BGM_Empty</BGM>:……（通知音）
NPC-Havel(0)<Speaker>ハーヴェル</Speaker><通讯框>||<BGM>BGM_Pervaded</BGM>:<color=#00CCFF>おお、親愛なる指揮官、実に久しぶりじゃないか。</color>
NPC-Havel(0)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>先日のベルグラードの旅は楽しかったかな？</color><c>災厄を止めることができず、申し訳ありませんでした。<c>「楽しい」という言葉であの事件を形容するつもりはありません。
NPC-Havel(0)<Speaker>指揮官</Speaker><通讯框>||<分支>1</分支>:災厄を止めることができず、申し訳ありませんでした。
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||<分支>1</分支>:<color=#00CCFF>そう自分を責めることはないさ、指揮官。これからまだまだ目にすることになる……心の準備をしておくといい。</color>
NPC-Havel(1)<Speaker>指揮官</Speaker><通讯框>||<分支>1</分支>:……簡単に言いますね。
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||<分支>1</分支>:<color=#00CCFF>しっかりメンタルケアをしておくんだ、でなければこの狂った世界で長くはもたないぞ。</color>
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||<分支>1</分支>:<color=#00CCFF>これは一日や二日で済むような話じゃない。持久戦の心構えで臨むんだな、指揮官。</color>
NPC-Havel(0)<Speaker>指揮官</Speaker><通讯框>||<分支>2</分支>:「楽しい」という言葉であの事件を形容するつもりはありません。
NPC-Havel(0)<Speaker>ハーヴェル</Speaker><通讯框>||<分支>2</分支>:<color=#00CCFF>ほう、なぜだ？大半の住民は避難所に間に合い、裂け目も無事塞いだ。除染作業だってすでに始まっておるぞ。</color>
NPC-Havel(0)<Speaker>ハーヴェル</Speaker><通讯框>||<分支>2</分支>:<color=#00CCFF>君は損害を最小限に抑えることに成功したんだ、それだけでも十分素晴らしいじゃないか。</color>
NPC-Havel(0)<Speaker>指揮官</Speaker><通讯框>||<分支>2</分支>:ベルグラードの惨状や人々の犠牲は、//nそのような薄っぺらい言葉でごまかせるものではありません。+そして彼らを、手柄を立てるための道具として扱うこともできません。
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||<分支>2</分支>:<color=#00CCFF>実に見事だ。今の時代、君のような心構えでいられる人間はそう多くない。</color>
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||<分支>2</分支>:<color=#00CCFF>私が冷血だと思うかもしれないが、実際その通りだ。若い頃に多くのものを見すぎたせいで、何が「悲惨」なのか、感覚が麻痺してしまった。</color>
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||<分支>2</分支>:<color=#00CCFF>まあ、この辺は老いぼれの戯言だと思って許してくれんか？</color>
NPC-Havel(1)<Speaker>ハーヴェル</Speaker><通讯框>||:<color=#00CCFF>挨拶はここまでとしよう。何と言っても、指揮官は私と同じく忙しいご身分だからな。</color>
