()||<BIN>72</BIN><BGM>BGM_Room</BGM>:…………作戦終了。
NPC-Seele(0)<Speaker>シーア</Speaker><通讯框>||:お疲れ様です。プロトコルのアップデートが完了しました。+新しいアクセスポートからは共通の回線を使用してツェナーネットワーク上で同期できます。//n今、みなさんはお互いの信号が見えているはずです。
NPC-Seele(0);G11(3)<Speaker>Gr G11</Speaker><通讯框>||:うわっ！ここどこ！？
HK416(0)<Speaker>416</Speaker><通讯框>;G11(3)||:これがセカンダリレベルの意識から見たツェナーネットワーク……ってこと？
HK416(0);UMP9(0)<Speaker>UMP9</Speaker><通讯框>||:みたいだね……11と416は電子戦に参加するモジュール、つけてないもんね。//n模擬信号を使ってツェナーネットワークに潜入するのはこれが初めてでしょ？
HK416(0)<Speaker>416</Speaker>;UMP9(0)||:ふん、面白いじゃない……
HK416(0);NPC-Seele(0)<Speaker>シーア</Speaker><通讯框>||:新しいプロトコルでは、他の人形の演算能力を利用して模擬信号の速度を上げることができます。+信号の命令は隊長の45さんにお任せしますね。
HK416(0);UMP45(0)<Speaker>UMP45</Speaker><通讯框>||:そう？//nじゃあみんな、電子ネットワークの中でもよろしくねっ。
HK416(0)<Speaker>416</Speaker>;UMP45(0)||:いやよ、拒否はできないの？
HK416(0);G11(0)<Speaker>Gr G11</Speaker><通讯框>||:これって、意識はネットワーク上にあるけど、体はメンテナンスポッドの中ってことだよね……+眠ってるのか起きてるのか分からなくなってきた……
UMP9(0)<Speaker>UMP9</Speaker><通讯框>;G11(0)||:うーんと、G11のおつむに電子戦はちょっと複雑すぎたみたいね。
UMP9(0);UMP45(0)<Speaker>UMP45</Speaker><通讯框>||:夢を見ていると思えばいいのよ。とはいっても、サボってばっかりだと二度と目覚めなくなるけどね。
NPC-Deele(0)<Speaker>デール</Speaker><通讯框>;UMP45(0)||:なに訳わかんないこと話してんのさ……でも、新しいアクセスプロトコルにはもう慣れたみたいだね。+あと少ししたらまたご主人様からの通信があるから、そこでみんなを引き上げるよ。
NPC-Deele(0);UMP45(0)<Speaker>UMP45</Speaker>||:それじゃ急がないとね。//n9、11と416がツェナーネットワークでの感覚に慣れるよう手伝って。
UMP9(3)<Speaker>UMP9</Speaker><通讯框>;UMP45(0)||<黑屏1>:おっけー！わたしに任せて！
