()||<BIN>22</BIN><BGM>BGM_Room</BGM>:…………
NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BIN>22</BIN>:相変わらず犬小屋みたいに散らかった部屋だ。+他の投資家だったら、この実験室を見て無駄金を使ってしまったと胸を痛めるだろうな。
NPC-Persica(0)<Speaker>ペルシカ</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:でも、私に投資しているのはあなた。//nいつかきっと、私がお金を正しいところに使ったことに感謝するわ。+それで、どうしてこんなに時間かかったの？
NPC-Persica(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BIN>22</BIN>:無駄金だったかどうか、私にはまだ見分けがつかないがな。+それに、監視をまくのはそう簡単なことではない。+今頃、あっちも大騒ぎになっていることだろう。
NPC-Persica(0)<Speaker>ペルシカ</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:アンジェは今、もっとたくさんの手がかりと証拠を必要としているわ。//nそして私もリコの……真相が知りたい。
NPC-Persica(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BIN>22</BIN>:どこまで知ったんだ？
NPC-Persica(0)<Speaker>ペルシカ</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:リコの死ぬところを見た……エリザが起動した時、リコはすでに死んでいた…………+彼は私たち味方の人形に射殺された。//nそして彼が破棄しようとしていたファイルには「オーガスシステム再起動報告」の文字列があった。+ハーヴェルさん、オーガスシステムを再起動させる目的は一体なに？//nあなたは2032年、カーターと一緒に何をしていたの？
NPC-Persica(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BIN>22</BIN>:フンッ、グリフィンも第六局も皆弄ばれていただけのこと。//nカーターは賢い男だ、やつが一介の士官から将軍まで上り詰めたのは偶然ではない。+……三十年前のことで君に教えられるのは、その時我々はミンスク付近にある機密施設の爆破を計画していた反乱軍を排除しようとしていたことだけだ。
NPC-Persica(0)<Speaker>ペルシカ</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:機密施設って？
NPC-Persica(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BIN>22</BIN>:OKB-413。あのクソ遺跡のナンバーだ。
NPC-Persica(0)<Speaker>ペルシカ</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:遺跡ね……
NPC-Persica(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BIN>22</BIN>:カーターはターゲットの取り押さえ、私は技術者を率いて爆弾の取り外しを担当した。+その施設は「バラクーダ」のテストと調整を行うため、わざわざ遺跡の上に建てられていた。+それはオーガスの一部ノードを使用して演算していた。
NPC-Persica(0)<Speaker>ペルシカ</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:オーガスは確か……+旧ソ連が80年代に推し進めていた、全国自動化システムの先進ネットワーク構築で……
NPC-Persica(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BIN>22</BIN>:その通りだ。しかし、その原型はおそらくもっと昔に設計されていたのだろう。//n設備とシステム案は全て遺跡の中から発掘されたものだからな。+あくまで私の憶測だが、あのオーバーテクノロジーは恐らく遺跡の中の生命を維持するために設計された自動制御システムだ。
NPC-Persica(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BIN>22</BIN>:そして任務を遂行していた際に、反乱軍は更なる破壊を引き起こすため、「バラクーダ」システムを過負荷状態で起動した。+システムは一瞬しか起動しなかった……というよりは、軽く点火しただけだった……+しかし…………
NPC-Persica(0)<Speaker>ペルシカ</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:しかし……？
NPC-Persica(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BIN>22</BIN>:点火とともに、遺跡から高エネルギー反応が検知された。//nもし私が現場に居合せたのではなく、ただ計量器のデータを見ただけだったら、きっと遺跡が丸ごと吹き飛んだと思ったはずだ。
NPC-Persica(0)<Speaker>ペルシカ</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:遺跡が……活性化させられた？
NPC-Persica(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BIN>22</BIN>:一瞬だけだったがな。//nその後すぐ、カーターの突撃部隊は制御室を制圧した……+「バラクーダ」をシャットダウンした後、我々はすべての回線を取り外し、あの区域のオーガスシステムはこうして終わった。+ほんの一瞬だけだったが、おそらくカーターたちにとっては一生忘れられないことだろうな。
NPC-Persica(0)<Speaker>ペルシカ</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:つまり、軍の目的は……
NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BIN>22</BIN>:もう見当がついているだろう、アンジェ。
NPC-Havel(0)<Speaker></Speaker></Speaker>||<BIN>22</BIN>:………
NPC-Ange(0)<Speaker>アンジェリア</Speaker><通讯框>;NPC-Havel(0)||<BIN>22</BIN>:なぜ私がいると分かった？
NPC-Ange(0);NPC-Havel(0)<Speaker>ハーヴェル</Speaker>||<BIN>22</BIN>:私が入ってきた瞬間、ペルシカは君との暗号チャンネルを開いた。//n私が気づかないとでも思ったか。
