()||<BIN>9</BIN><BGM>BGM_Danger</BGM>:……ピー。
M16A1()<Speaker>M16A1</Speaker>||<黑屏1>:指揮官？ネゲヴ？そこにいるのか？！
NEGEV(0)<Speaker>ネゲヴ</Speaker>||<黑屏2><BIN>2</BIN>:M16、どこ行ってたのよ！+今S08地区は鉄血だらけよ。//nしかも桁外れに強いの！+もう少しであなたを置いて撤退するところだったわ！
M16(3)<Speaker>M16A1</Speaker><通讯框>||:すまん、ちょっと用事があって遅くなった。+ネゲヴ、指揮官、聞いてくれ。//nひとまず他のことには構うな。+アルケミストの部隊が行動を開始した。//nおそらくそちらに向かっている。
NEGEV(0)<Speaker>ネゲヴ</Speaker>;M16(3)||:フンッ、借りを返すときが来たってわけね。+それであなたたちは？SOP IIとどこへ行くつもり？
NEGEV(0);M16(3)<Speaker>M16A1</Speaker>||:こちらにはこちらの予定がある。//n何とかするから、心配は無用だ。+そちらも気をつけろ。指揮官、ネゲヴたちを頼む！
NEGEV(0)<Speaker>ネゲヴ</Speaker>;M16(3)||:ちょっ、M16！待って！
NEGEV(0);BOSS-5(0)<Speaker>アルケミスト</Speaker><通讯框>||:おはよう、グリフィンのガキども。+狩りが始まるぞ。用意はいいか？+また会えるのが楽しみだなぁ、ネゲヴちゃん……
NEGEV(0)<Speaker>ネゲヴ</Speaker>;BOSS-5(0)(0)||:あらそう？//nわたしは今めちゃくちゃ機嫌が悪いのよ、アルケミスト……+わたしに出くわさないことを祈るのね、特にまだ息があるうちは……
NEGEV(0);BOSS-5(0)<Speaker>アルケミスト</Speaker>||:ほう？そんな化石のような銃弾でどれだけ持つか楽しみだな。+当ててやろうか。//n仲間と一緒にズタズタにされるか、それとも一人逃げる途中で倒れるか……+せいぜいあたしが到着するまで恐怖に満ちた表情で待ってることだな！
NEGEV(0)<Speaker>ネゲヴ</Speaker>;BOSS-5(0)(0)||<黑屏1>:願ってもないことよ、鉄血のクズが……
内格夫()<Speaker>ネゲヴ</Speaker>||<黑屏2><BIN>9</BIN>:始めましょ、指揮官。+憎い敵の血にまみれて酔いしれるほど楽しいことはないわ。
