SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<BIN>10</BIN>:M16、あれ見て！
M16(3)<Speaker>M16A1</Speaker>||<黑屏1>:……！
M16A1()<Speaker>M16A1</Speaker>||<黑屏2><BIN>48</BIN>:あれは……【ジュピター】？！
RO635()<Speaker>RO635</Speaker>||:……そう、大型砲台の【ジュピター】です。+あれに撃たれたらひとたまりもないので、近づかないようにしてください。
M16A1()<Speaker>M16A1</Speaker>||:RO、あの砲台について何か知ってるのか？
RO635()<Speaker>RO635</Speaker>||:以前、人間の居住区域に赴いたときに、出くわしたことがあります。+ペルシカさんの研究によると、砲台に使用されている技術は鉄血が軍部にハッキングを仕掛け、そこから得たものである可能性が高いそうです。+鉄血内部でのコードネームは「マルドゥーク」。//nグリフィンに対抗するため、造られたものと推測されます。
M4SOPMODII()<Speaker>M4 SOPMOD II</Speaker>||:なになに、「グリフィン・キラー」ってこと？+でもさ、こっちだってあれに対抗する手だてはあるんだよね？
RO635()<Speaker>RO635</Speaker>||<黑屏1>:真っ向から破壊するのは無理そうですが、前回と同じやり方で通るなら……+生存者たちを連れて砲台周りの拠点を占領できれば、侵入プログラムを使って威力をかなり弱められるはずです。
M16A1()<Speaker>M16A1</Speaker>||<BIN>10</BIN><黑屏2>:つまり砲台を完全に囲んでしまえば、私たちへの脅威も減るってことか？
RO635()<Speaker>RO635</Speaker>||:その通りです。//n砲台とやり合うなら、これが最善の策です。+まず囲い込んで、それから正面突破する。
M16A1()<Speaker>M16A1</Speaker>||:ハハ……そりゃ、可能な限り避けて通りたいな。
RO635()<Speaker>RO635</Speaker>||:ええ、まずはしっかり補給を蓄えましょう。+今のままでは……寒さと飢えでどうにもできないので……
()||:【注意】砲台のマスを占領する場合、初めに隣接するマスをすべて占領することで、砲台の火力を大幅に弱めることができます。
