()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<Night><BIN>6</BIN><黑屏2>:……グリフィン基地正面ゲートにて。+先ほどの戦闘の隙を見計らって、//nデストロイヤー謹製の改造ダイナーゲートがグリフィン人形たちの//n中に紛れ込み、現在はおとなしくゲート前に座っている。
FAL(2)<Speaker>FAL&フェレット</Speaker>||:……
CZ75(2)<Speaker>CZ75</Speaker>||<BGM>BGM_Hello</BGM>:なあお前ら……あそこに何匹か座り込んでるのが見えないのか……？
KP31(2)<Speaker>スオミ</Speaker>||:見えたからってどうしようもありませんよ……+捨てられた野良の動物みたいに……恨めしそうに私たちを待っているんです……
FAL(2)<Speaker>FAL</Speaker>||:ちょっと待って、こっちに来たわよ……+私の足にずっとくっついてるわ、どうやらセンスは悪くないようね。
()<Speaker></Speaker>||:FALのフェレットが不満そうな鳴き声を上げた。
OC44(2)<Speaker>OTs-44</Speaker><Position>0,-150</Position>||:おぉ！ちょうど人手が足らなかったんですよ！
WA2000(2)<Speaker>WA2000</Speaker>||:基地に連れて帰るのもダメってことないでしょ。//nべ、別に、今は猫の手も借りたいってだけよ……
G36(4)<Speaker>Gr G36</Speaker>||:こんなに寒い中、外に放っておくのもかわいそうですしね……
M1903(2)<Speaker>スプリングフィールド</Speaker>||<黑点1>:反対している方もいませんし、とりあえず預かっておいて、//n指揮官がお帰りになってから、判断していただきましょうか。
()<Speaker></Speaker>||<BIN>7</BIN><黑点2><Night>:……グリフィン基地近くの隠れた場所にて。+グリフィンの人形たちが改造ダイナーゲートを連れて帰るのを目にした//nデストロイヤーは、うれしさのあまり雪へダイブしていた。
BOSS-7(0)<Speaker>ゲーガー</Speaker><通讯框>||:<color=#00CCFF>気を緩めるな、こういう時こそ気を付けるべきだぞ。</color>
()<Speaker></Speaker>||:デストロイヤーは冷静な面持ちで雪の中から這い出た。
BOSS-6(0)<Speaker>デストロイヤー</Speaker>||:安心して、失敗は繰り返さないから。
()<Speaker></Speaker>||<黑点1><BGM>BGM_Empty</BGM>:拳を固く握るデストロイヤーの目には、ゆるぎない決意が感じられた。
()<Speaker></Speaker>||<黑点2><BIN>9</BIN>:……同刻。+……グリフィン基地の煙突にて。+新しくやって来たダイナーゲートを意味ありげに見つめていたART556の顔には、邪悪な笑みが浮かんでいた。
