()||<BGM>BGM_Sneak</BGM><BIN>99</BIN>:……
AK12(0)<Speaker>AK-12</Speaker><通讯框>||<BGM>BGM_Sneak</BGM><BIN>99</BIN>:アンジェ、M4A1を回収したわ。次の指示は？
AK12(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>99</BIN>:あら、本当にAR15に連れまわされてるのね。
AK12(0)<Speaker>AK-12</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:AR15の判断に従うようにって言ったのはそっちでしょ。+それに新メンバーの決断やリアクションにも興味あるしね。+みんなM4A1を欲しがっているみたいだし、先に回収しておいて間違いはないでしょ？
AK12(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>99</BIN>:M4A1の価値はそれだけじゃない。//nとにかく、よくやったわ。+そっちの戦況はどう？
AK12(0)<Speaker>AK-12</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:鉄血の主力部隊が全力でS09地区外へ向かって突破を重ねているわ、今回はほんとにもたないかも。
AK12(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>99</BIN>:了解よ。//n新しい指示はすでに送ったわ、速やかに実行するように。それと、くれぐれも安全には気を付けて。
AK12(0)<Speaker>AK-12</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:え？それってなんだか矛盾してるような――
NPC-Ange(0)<Speaker></Speaker>||<BIN>99</BIN>:……ピー。+アンジェは通信を終了した。
NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>99</BIN>:今は私たちにとって絶好のチャンスよ、早いうちに鉄血の中枢要塞に潜り込む必要があるわ。+AN-94、戻ってる？
AN94(0)<Speaker>AN-94</Speaker><通讯框>;NPC-Ange(0)||<BIN>99</BIN>:指揮官、ご指示を。
AN94(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>99</BIN>:ご苦労。【傘】の拡散速度と被害区域について、簡単に報告してちょうだい。
AN94(0)<Speaker>AN-94</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:【傘】の拡散速度は現在、理論値の上限にほぼ達しています。+軍の主力が撤退し、彼らが設置したアンチジャミングシステムも全て閉じられたのが原因かと。
AN94(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>99</BIN>:いよいよグリフィンの息の根を止めに来てるわね……
AN94(0)<Speaker>AN-94</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:それともう一つ、良い知らせがあります。+彼らは西軍区司令部のサーバーでセカンダリレベルネットワークを構築し、鉄血に対抗するための演算サポートを行っています。+加えて、今でもこの戦場の指揮サーバーと直接繋がっており、ファイアウォールによる保護もありません。+このチャンスを利用しますか？私としては……
AN94(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>99</BIN>:あら？お偉いさんたち、随分と油断しているようね。//nキーワード【オーガス】で、今すぐサーバーに入っている情報を検索してちょうだい！+それと、今回の作戦に参加している可能性のある軍関係者の名前もお願い！
AN94(0)<Speaker>AN-94</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:今まで通り猪突猛進に、ですか？
AN94(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>99</BIN>:じゃなきゃ、私にあなたのような新型人形をよこさないでしょ。ほら、早く早く。
AN94(0)<Speaker>AN-94</Speaker>||<BIN>99</BIN>:少々お待ちください。余計な情報が多いので、整理します。
()||<BIN>99</BIN>:…………5分後。
AN94(0)<Speaker>AN-94</Speaker><通讯框>||<BIN>99</BIN>:アンジェ、検索が完了しました。興味深い情報が二つほど。+一つは2032年のオーガス施設と関連があるソ連軍の作戦報告。+そしてもう一つは、ミンスク付近にあるオーガス関連の小型遺跡OKB-413の発掘記録です。
AN94(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>99</BIN>:小型……遺跡？
AN94(0);NPC-Ange(0)<Speaker></Speaker>||<BIN>99</BIN>:……アンジェはモニターをじっと見つめた。
AN94(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>99</BIN>:やはり情報は正しかったのね。あいつら……とんでもないものを狙ってる……+まさか……オーガスが造られた本当の目的は……
AN94(0)<Speaker>AN-94</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:今はゆっくり読んでいる場合ではありません。//n【傘】は今も凄まじい速度で拡散しています、私たちに残されている時間はそう多くありません。
AN94(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>99</BIN>:そうね……これ以上鉄血を野放しにしておくわけにはいかないわ……+これってまさか……2032年に行われた例の作戦の名簿？+カーターと……ウィトキン？
AN94(0)<Speaker>AN-94</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:こちらを見て答えてください。
AN94(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>99</BIN>:電子戦はできたわよね？Aポイント付近にある廃棄人形を使って、一時的な盾にできないかしら。
AN94(0)<Speaker>AN-94</Speaker>;NPC-Ange(0)||<BIN>99</BIN>:たしかに廃棄された人形の演算能力を借りることで、【傘】の拡散へ対抗することは出来ます。+しかしこの規模の接続には膨大なメモリ領域が必要で、セカンダリレベルへ入る必要がありますね。
AN94(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<黑点1><BIN>99</BIN>:ええ、任せたわ。
AN94()<Speaker>AN-94</Speaker>||<BIN>9</BIN><黑点2>:ちゃんと聞いてましたか？//n私の意識がセカンダリレベルに入れば、あなたを守る者はいなくなるのですよ。
()||<BIN>9</BIN>:……アンジェは顔を上げた。
安洁()<Speaker>アンジェリア</Speaker>||<BIN>9</BIN><黑点1>:なんだ、私がそんなに弱く見えるのかい？
