()||<BIN>7</BIN><Night><BGM>BGM_Room</BGM>:……
UMP9(0)<Speaker>UMP9</Speaker>||<BIN>7</BIN><Night>:45姉、グリフィンの部隊があと3分でここに到着するよ。
UMP9(0);UMP45(0)<Speaker>UMP45</Speaker>||<BIN>7</BIN><Night>:恩を売るのもここまでね。行きましょう。+今回は雇い主にたっぷり報酬を要求しないと……+そうだ、9、記録は全部消しておいてね。
UMP9(3)<Speaker>UMP9</Speaker>||<BIN>7</BIN><Night><黑点1>:安心して、今やってるから。+今回はちょっと人数が多いけど、あと5分で、わたしたちはきれいさっぱりいなかったことになるよ。
()||<BIN>34</BIN><黑点2>:――数十分後。+404小隊はアンジェと合流した。
NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>34</BIN>:久しぶりね、UMP45。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:久しぶり、って返したいところだけど……+あなたと会う時って、いつも面倒なことが起きた時なのよね。+今回もそうでしょ？
UMP45(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>34</BIN>:どうやら、もう心の準備はできてるようね。+だからこそ、あなたたちの存在には大きな価値がある。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:無駄話はもういいでしょ。+こんな大騒ぎになって……今回は何が起きたの？
UMP45(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>34</BIN>:オーガスシステムのことは知ってる？
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:知ってる、鉄血人形が使ってるプロトコルのベースよね。+そして、私が奴らに偽装できる理由でもある。//nそのことと私たちに何の関係が？
UMP45(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>34</BIN>:たかがオーガスシステムに基づく指揮プロトコルのためだけなら、ここまでの騒ぎにする必要はない。+あいつらが欲しがってるのは、システムよりも重要な何かで、更なる破壊力を持っているものよ。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:それはなに？
UMP45(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>34</BIN>:まだ分からないわ。+でも、胡蝶事件のことはまだ覚えてるよね。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:…………+忘れるはずないでしょ。
UMP45(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>34</BIN>:今回の騒動、その胡蝶事件の続きに違いないわ。+あの時はただの序章に過ぎなかった。//nそして今回こそ、彼らがずっと待ち望んでいた本編ね。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:だから犠牲も相応なわけね。//nほんと、クズばっかり。+それじゃ、今回は何をすればいいか教えて。
UMP45(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>34</BIN>:あら？//n今回は意外と積極的なのね。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<BIN>34</BIN>:私にも取り返したいものがあるから。
UMP45(0);NPC-Ange(0)<Speaker>アンジェリア</Speaker>||<BIN>34</BIN>:今回の任務は、鉄血のメインデータベースを探し出すこと。//nそして、可能な限りオーガスと胡蝶事件に関する情報を収集し、エルダーブレインの位置を割り出すことね。+速やかに、かつ確実に、相手よりも先にエルダーブレインを見つけ出さなければならない。
UMP45(0)<Speaker>UMP45</Speaker>;NPC-Ange(0)||<黑屏1><BIN>34</BIN>:分かったわ。+準備が終わったらすぐに出発する。
UMP45()<Speaker>UMP45</Speaker>||<BIN>9</BIN><黑屏2><黑屏1>:やっとこの時がきたのね……+私はもう昔の私じゃないよ、40……+ようやく、すべてに終止符を打つ時が来たわ。
