()||<BIN>99</BIN><BGM>BGM_stage10</BGM><Night><黑屏2>:……作戦終了。
NPC-Kalin(0)<Speaker>カリーナ</Speaker>||:やった！やりました！+ゲーガーの追撃が止みましたよ。//n指揮官さま、今のうちに――
NPC-Kalin(0);BOSS-7(0)<Speaker>ゲーガー</Speaker><通讯框>||:グリフィンの指揮官よ、まさか、私から逃れられるとでも？
NPC-Kalin(2)<Speaker>カリーナ</Speaker>;BOSS-7(0)||:え？
NPC-Kalin(2)<Speaker></Speaker>;BOSS-7(0)||:……ピー。
NPC-Kalin(2)<Speaker>グリフィン人形A</Speaker>;BOSS-7(0)||:指揮官、私たちの部隊は大量の鉄血の奇襲に遭っています！もう後方にいる部隊と合流できません！
NPC-Kalin(4)<Speaker>カリーナ</Speaker>;BOSS-7(0)||:まさか！？どこで！
NPC-Kalin(4)<Speaker>グリフィン人形B</Speaker>;BOSS-7(0)||:指揮官！鉄血部隊に包囲されました！//n敵はそれ以上進んできませんが、今は――！
NPC-Kalin(4);BOSS-7(0)<Speaker>ゲーガー</Speaker>||:あれは元々エージェントが用意してくれた増援部隊、私が待ち伏せとして配置していただけだ。+グリフィンの指揮官、お前の後方部隊の多くはすでに包囲されている。//nその上、いつでも攻撃を開始できる状況だ。+お前の人形たちの命は今、この私が握っている……それとも、彼女たちを捨てて自分だけ逃げたいか？
NPC-Kalin(4)<Speaker>カリーナ</Speaker>;BOSS-7(0)||:…………+私たちは……人形たちを一人たりとも見捨てたりはしません……+私たちがこのまま負けるなんて思わないことですよ、ゲーガー！
NPC-Kalin(4);BOSS-7(0)<Speaker>ゲーガー</Speaker>||:そうかもな。//nだが、私に勝つために、またどれほどの犠牲を払うつもりだ？
NPC-Kalin(4)<Speaker>カリーナ</Speaker>;BOSS-7(0)||:ちょっと！卑怯ですよそんなの、あなたのやり方じゃないでしょ！
NPC-Kalin(4);BOSS-7(0)<Speaker>ゲーガー</Speaker>||:目に映った鉄血以外のユニットを全て撃滅する、それが今回の私に与えられた任務だ。+ただ今回は、一回だけチャンスを与えよう。
NPC-Kalin(3)<Speaker>カリーナ</Speaker>;BOSS-7(0)||:なにをするつもり……？
NPC-Kalin(3);BOSS-7(0)<Speaker>ゲーガー</Speaker>||:アーキテクトだ。
NPC-Kalin(2)<Speaker>カリーナ</Speaker>;BOSS-7(0)||:え？
NPC-Kalin(2);BOSS-7(0)<Speaker>ゲーガー</Speaker>||:アーキテクトはまだお前らに捕まったままだろう？+居場所を教えろ、確認が取れ次第包囲を解除してやる。+私のデータを握っているのなら、私が嘘をつかないことも承知のはずだ。
NPC-Kalin(3)<Speaker>カリーナ</Speaker>;BOSS-7(0)||:……指揮官さま？+……そうですね、そんなことできるわけないですよね。//nとりあえずやってみるしかありません。
NPC-Kalin(3)<Speaker>カリーナ</Speaker>;BOSS-7(0)||:ゲーガー、アーキテクトは今、本部の秘密刑務所に収容されています。+けれどそれはグリフィンの内部機密なので、私たちみたいな前線の人員は場所を知ることはできません。+それでも、彼女がまだ生きていることは保障できますが――
NPC-Kalin(3);BOSS-7(0)<Speaker>ゲーガー</Speaker>||:言ったはずだ、アーキテクトの居場所を教えろ、これが包囲解除の条件だ。+どんな方法を使おうが、今すぐ見つけ出せ！
NPC-Kalin(3)<Speaker>カリーナ</Speaker>;BOSS-7(0)||:しかし……私たちは今、自身の上司とさえ連絡がとれないので、捕虜の居場所なんてわかるはずがありません。//nですので――
NPC-Kalin(3);BOSS-7(0)<Speaker>ゲーガー</Speaker>||:なら、お前たちの部隊ともすぐ連絡がつかなくなると思え。
NPC-Kalin(4)<Speaker>カリーナ</Speaker>;BOSS-7(0)||:ちょ……ちょっとまってください、もう一度――
NPC-Kalin(4);BOSS-7(0)<Speaker>ゲーガー</Speaker>||<黑屏1>:話が通じないようだな、やれ――
NPC-Kalin(4)<Speaker></Speaker>||<BGM>BGM_Empty</BGM><黑屏2>:……ブーン——！+…………+……
NPC-Kalin(2)<Speaker>カリーナ</Speaker>||:え？？+停電？
NPC-Kalin(4)<Speaker>カリーナ</Speaker>||<黑屏1>:いえ……通信が切られたみたいです……+一体何が……+指揮官さま……皆さん……大丈夫なのでしょうか……+私たちは……どうすれば……
