()<Speaker>﻿</Speaker>||<BIN>41</BIN><BGM>BGM_Empty</BGM><SE1>Battlefield</SE1>:…………M16はSOP IIのいる拠点に到着した。+拠点は砲撃を受け、廃墟と化していた。　
M16(3)<Speaker>M16A1</Speaker>||<黑屏1><SE2>Gunfight</SE2>:SOP II、聞こえるか？ //n今拠点に到着した。+まだ中にいるのか？ //n今から入るぞ。
()||<黑屏2><BIN>9</BIN>:…………！
M16(3)<Speaker>M16A1</Speaker>||:床は鉄血の残骸だらけだな……それに壁には大量の弾痕……+一体、ここで何があったんだ……
MK2(0)<Speaker>ステンMK-II</Speaker><通讯框>||<BGM>BGM_Sneak</BGM>:あの……M16さん。
M16(3)<Speaker>M16A1</Speaker>;MK2(0)||:ステン？ //n今どこだ！
M16(3);MK2(0)<Speaker>ステンMK-II</Speaker>||<黑屏1>:私は……地下の防空室にいます。+制御盤の後ろに開閉装置があります。//n解除番号は“6FPIZX4V”です。
()||<黑屏2><BIN>46</BIN>:M16A1は地下室へ入っていった……
MK2(0)<Speaker>ステンMK-II</Speaker>||:あの……M16さん。+外はもう安全なのですか？
M16(3)<Speaker>M16A1</Speaker>;MK2(0)||:ああ、SOP IIは？//n 一緒じゃないのか？
M16(3);MK2(0)<Speaker>ステンMK-II</Speaker>||:…………+すみません……+あまりにも恐ろしい状況だったので、私を防空室に残し……+彼女は一人で出ていったのです……
M16(3)<Speaker>M16A1</Speaker>;MK2(0)||:何があった。
M16(3);MK2(0)<Speaker>ステンMK-II</Speaker>||:砲撃のあと、ドリーマーが……現れて……
M16(3)<Speaker>M16A1</Speaker>;MK2(0)||:……？！+ドリーマー……SOP IIは奴の攻撃を受けたのか？
M16(3);MK2(0)<Speaker>ステンMK-II</Speaker>||:ただの雑魚敵だったので、SOP IIの相手ではありませんでしたが……
M16(3)<Speaker>M16A1</Speaker>;MK2(0)||:じゃその「恐ろしい状況」っていうのは……？
M16(3);MK2(0)<Speaker>ステンMK-II</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:SOP IIが……あまりにも恐ろしかったのです……+だから、あなたが来るまでここで待っていました……+こちらはその様子を録音したテープです……
()||<黑屏2><BIN>9</BIN><黑屏1>:ステンが録音テープを手渡した。+M16は再生を始めた……+…………
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<BGM>BGM_Boss</BGM><黑屏2><BIN>46</BIN>:ハァ……ハァ………+もうおしまい？//nその程度のゴミしか指揮できないの？
