()||<BIN>6</BIN><BGM>BGM_Sneak</BGM>:…………
RO635(0)<Speaker>RO635</Speaker>||:皆さん、通信ステーションはもうすぐそこです！
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:みんな、あれ見て！
RO635(4)<Speaker>RO635</Speaker>||:……！
()||<SE1>Explode</SE1>:…………ドーン！
M16(3)<Speaker>M16A1</Speaker>||:おいおい、あれは【ジュピター】だぞ！+まさかここにも？！
()||<SE1>Explode</SE1>:…………ドォーン！
RO635(4)<Speaker>RO635</Speaker>||:それに1基だけじゃありません……+もしかしたらわたしたち、とんでもない所に墜ちてしまったのかも……
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:見て！通信ステーションが砲撃でやられてるよ！+どうしよう？！
RO635(5)<Speaker>RO635</Speaker>||:計画を変更するしかなさそうですね。//nここを迂回して前進しましょう！+それに、どうやら鉄血に気付かれた模様です。//n皆さん警戒してください！
M16(3)<Speaker>M16A1</Speaker>||:道中かなり注意を払ってきたのに、もう見つかってしまったのか？
RO635(4)<Speaker>RO635</Speaker>||:はい。このあたり、恐らく手ごわい鉄血ボスが居座っています。
M16(3)<Speaker>M16A1</Speaker>||:……じゃあ、ドリーマーみたいな人形が、他にもいるってことか？
RO635(0)<Speaker>RO635</Speaker>||:鉄血の姿がまだ見えないということは、奴らもわたしたちの正確な位置は掴めていないはずです。+とにかく今は計画を変更し、ここを迂回して前進します。
M16(3)<Speaker>M16A1</Speaker>||:西に森が見えるな。//nひとまずあそこに身を隠そう。
RO635(0)<Speaker>RO635</Speaker>||<黑屏1>:そうするしかなさそうですね……+別の輸送機もこの辺りで撃墜されたと、ヘリアンさんは言っていました。+生存者がいるかもしれないし、物資も落ちているかもしれません。//n探しながらいきましょう。+完全に居場所がバレてしまう前に……
()||<BGM>BGM_Empty</BGM><BIN>34</BIN><黑屏2>:…………その頃、鉄血司令室では。
BOSS-9(0)<Speaker>アーキテクト</Speaker>||<BGM>BGM_Boss</BGM>:やった～！当たった！+ほら見て！//n当たった、当たったよ！
计量官()<Speaker>ゲーガー</Speaker>||:朝っぱらからうるさいなぁ……
BOSS-7(0)<Speaker>ゲーガー</Speaker>;BOSS-9(0)||:なに？//n……なにが当たったんだ？
BOSS-7(0);BOSS-9(0)<Speaker>アーキテクト</Speaker>||:ねぇねぇゲーガー、見てよ！+さっき撃ったのが通信ステーションに命中したよ！
BOSS-7(0)<Speaker>ゲーガー</Speaker>;BOSS-9(0)||:…………+で……なんのために撃ったんだ。
BOSS-7(0);BOSS-9(0)<Speaker>アーキテクト</Speaker>||:えっ……別に。+目障りだったし、ついでにあたしの命中力を確かめようと思って。エヘッ！
BOSS-7(0)<Speaker>ゲーガー</Speaker>;BOSS-9(0)||:ったく……+そののう天気っぷりを仕事に持ち込まないでくれよ。+そんな暇なら、グリフィンの生存者でも探しに行ったらどうだ。
BOSS-7(0);BOSS-9(0)<Speaker>アーキテクト</Speaker>||:え？生存者とかいたの？
BOSS-7(0)<Speaker>ゲーガー</Speaker>;BOSS-9(0)||:お前の砲弾、奴らの輸送機にかすっただけだろ？//nその辺りに不時着しただけだし、まだ生きている可能性が高いぞ。
BOSS-7(0);BOSS-9(0)<Speaker>アーキテクト</Speaker>||:えー……まあ、あんたがそう言うんだったら……+でも、あたしらの任務って大砲のテストでしょ？//n生存者の捜索に出ちゃったら、誰が大砲を守るわけ？
BOSS-7(0)<Speaker>ゲーガー</Speaker>;BOSS-9(0)||:私が奴らを探しに向かう。//nお前は基地でお留守番だ……+それから、むやみに大砲を撃つのはよせ。//n味方に命中したらどうする。
BOSS-9(0)<Speaker>アーキテクト</Speaker>||<黑屏1>:はいはい、分かったってば。+じゃ、任せたわよ！
