()||<BIN>9</BIN><BGM>BGM_Empty</BGM>:同時刻、M16A1の潜伏先では……
M16A1()<Speaker>M16A1</Speaker>||<黑屏1>:やれやれ。 +嘘をついたのはいいが、やはり仲間がいた方が楽だったな。+もっとも……
M16A1()<Speaker>M16A1</Speaker>||<黑屏2><BIN>26</BIN><BGM>BGM_Sneak</BGM>:お前は助けに来たわけじゃなさそうだが。//nだろ？
？？？()<Speaker>？？？</Speaker>||:やって来たのが鉄血の方がまだましだった。//nなんて思ってる？
M16A1()<Speaker>M16A1</Speaker>||:いいや、別に。//nこういう事態を想定していなかったわけじゃないしな。+だがグリフィンの人形でありながら、鉄血以外の人形を殺すのなら、せめて理由ぐらいは聞かせてほしいものだな。
？？？()<Speaker>？？？</Speaker>||:404小隊の特権よ。//n邪魔する者は敵味方構わず先制攻撃を仕掛けていいというね。
M16A1()<Speaker>M16A1</Speaker>||:ほう……便利な特権だな、少し羨ましいぐらいだ。
？？？()<Speaker>？？？</Speaker>||:黙れ、M16！+分かってるでしょ……この代償が何か……
M16A1()<Speaker>M16A1</Speaker>||:やれやれだ……それで、私がそこまで邪魔なのか？
？？？()<Speaker>？？？</Speaker>||:正直、この特権を与えられて嬉しかったことなんてなかったわ。//n今回以外は。
M16A1()<Speaker>M16A1</Speaker>||<黑屏1>:正直、国家保安局にいたころはお前のこと結構気に入っていたよ。//nあのときだけは。+それで今日、ついに決着をつけようってか…… 
HK416(0)<Speaker>M16A1</Speaker>||<黑屏2><BIN>9</BIN>:……416。
HK416(0)<Speaker>416</Speaker>||<黑屏1>:始めましょう、M16A1。+今度こそ、逃がさないわよ。
