()||<BIN>9</BIN><BGM>BGM_NightOPS</BGM><黑屏2>:……+…………接続完了。
SOPIIDamage(3)<Speaker>M4 SOPMOD II</Speaker>||:……
RO635(3)<Speaker>RO635</Speaker>||:……
()||<闪屏><duration>5</duration></闪屏>:……パッ！
SOPIIDamage(3)<Speaker>M4 SOPMOD II</Speaker><Shake>||:う……
()||<闪屏><duration>5</duration></闪屏>:……パッ！
RO635(3)<Speaker>RO635</Speaker><Shake>||:うう……
()||<闪屏><duration>5</duration></闪屏><CGDelay>0.1</CGDelay>:
()||<闪屏><duration>5</duration></闪屏>:……パッ！パッ！
()||<黑屏1>0,5<黑屏1>:……ガチャッ！+……SOP IIは目を開いた！
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>||<BIN>85</BIN><睁眼>:SOP II！SOP II！！+軍の人形に発見された！早く起きて！
Cx4Storm(0);SOPIIDamage(2)<Speaker></Speaker>||:……しかしSOP IIは元の位置にいるまま、全然動かない。
Cx4Storm(0);SOPIIDamage(2)<Speaker>M4 SOPMOD II？</Speaker>||:わたし……
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPIIDamage(2)||:SOP II……？大丈夫？
Cx4Storm(0);SOPIIDamage(2)<Speaker>M4 SOPMOD II？</Speaker>||:SOP II……+SOP II……SOP IIは……どこ……
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPIIDamage(2)||<立绘振动>:SOP II？+まさか……私がメンタルモデルを壊しちゃったんじゃないよね……？+本当にごめん！最後焦って一回多く叩いてしまったの！これってもしかして何かの手はず通りにやらないといけない呪文なの？一回多く叩いちゃったからって、何か大変なことになったりしないよね？！
Cx4Storm(0);SOPIIDamage(2)<Speaker>M4 SOPMOD II？</Speaker>||:SOP II……SOP IIはどこなの……+って、ちょっと待って……+ここはどこなの……？
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPIIDamage(2)||:SOP II……+口が……動いていない？なにで……喋っているの？+それと……あなたは誰ですか？
SOPIIDamage(2)<Speaker>M4 SOPMOD II？</Speaker>||:……+わたし？
RO635？()<Speaker>RO635？</Speaker>||:わたしは……RO635ですけど、あなたは……
()||:……Cx4は声を辿って視線を下げた。
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>||<震屏>:キャッ！あ……あなたが喋ってるの！？
RO635(6)<Speaker>RO635</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:わたし？いやそもそもわたしはどこにいるの？+なんで……こんなに……低い、の？+待って、この手は……じゃなくて！この足は――！
()||<BIN>9</BIN><黑屏2>:……。
<Speaker>RO635</Speaker>()||<闪屏><duration>5</duration></闪屏><黑屏1>:<size=55>いやああああああ——！</size>+<size=55>なんでダイナーゲートなのよおおおぉぉぉ！！</size>
