()||<BIN>9</BIN><BGM>BGM_Empty</BGM>:…………
UMP9()<Speaker>UMP9</Speaker>||：信号の誘導は間違ってなかったみたいだね。ドローンはちゃんとあった……+45姉！任務を達成したよ！+今は聞こえてないんだろうけど……
UMP9()<Speaker>UMP9</Speaker>||<黑屏1>：45姉、絶対無事でいてね。もうあの時みたいな思いは……したくないよ……
()||<BIN>3</BIN><Night><BGM>bossbattle_loop</BGM><SE1>Battlefield</SE1><黑屏2>:…………その頃。+…………デストロイヤーは依然として戦場を駆け回っていた。
HK416(0)<Speaker>416</Speaker>||:G11、これが最後のチャンスよ。+拠点の周辺は私がクリアしたわ。後は全力であいつを倒すだけよ。
G11(0)<Speaker>Gr G11</Speaker>||<SE2>Gunfight</SE2>:はは……簡単に言うけど、あたしだけじゃそんなの……
DSR50(0)<Speaker>Gd DSR-50</Speaker><通讯框>||:つまり、私の出番ということね。+おチビちゃん、こんにちは。今はお一人かしら？+あら……もうお相手がいるみたいね。私が一足遅かったわ。
HK416(0)<Speaker>416</Speaker>||:真面目にやりなさいよ、DSR50。+ターゲットはあの犬型の鉄血ボスよ。//nあいつを倒せばダミーも止まるし、そしたらもう安全だわ。+自由の身になったからには、協力してもらうわよ。
G11(0)<Speaker>Gr G11</Speaker>||：同時射撃、できる？
DSR50(0)<Speaker>Gd DSR-50</Speaker><通讯框>||:声をかけてくれたらいつでも。
HK416(0)<Speaker>416</Speaker>||:新入りのエリート人形……45が言ってたように頼りになればいいけど。+G11、もういけそうかしら。
G11(0)<Speaker>Gr G11</Speaker>||<黑屏1>：急かさないでよ。同じミスをしないように、デストロイヤーが止まってから狙わないと。+これまでの戦闘で消耗してるから、スピードも格段に落ちてるし、すぐに動けなくなるんじゃないかな。+あとは……あいつの大きな目が出てくるのを待つだけ……
()||<黑屏2><SE1>Battlefield</SE1><BIN>5</BIN><Night>:…………
BossCerberus(0)<Speaker>デストロイヤー</Speaker>||:ねぇ、ドリーマー！こっちはそろそろもたないわ！+増援はまだなの！？
BossCerberus(0);BOSS-11(0)<Speaker>ドリーマー</Speaker><通讯框>||:あら……あたしの部隊なら防衛に出払っているわ。+でも心配しないの、デストロイヤー。あなたの役目はもうじき終わるわ。+だから今は、止まることなく走り続けなさい。//nスナイパーには気を付けてね。
BossCerberus(0)<Speaker>デストロイヤー</Speaker>;BOSS-11(0)||:このままどうしろってのよ！UMP45は仲間になってないし、あいつらも攻撃をやめないし！
BossCerberus(0);BOSS-11(0)<Speaker>ドリーマー</Speaker>||:あと少し、ほんの少し近づけば、あいつらを指揮する人形を抹殺できるわ。
BossCerberus(0)<Speaker>デストロイヤー</Speaker>;BOSS-11(0)||:なに言ってんのよ、UMP45を乗っ取る計画は失敗したんでしょ？
BossCerberus(0);BOSS-11(0)<Speaker>ドリーマー</Speaker>||:UMP45ね……フフフ……+あの子、まだあたしたちとの接続を切ってないのよね、おそらく何か企んでるのだろうけど。+まぁそれはなんでもいいわ。//nとりあえず接続している限り、あたしたちにもチャンスはあるからね。
BossCerberus(0)<Speaker>デストロイヤー</Speaker>;BOSS-11(0)||:チャンス？どんなチャンスがあるってのよ？
BossCerberus(0);BOSS-11(0)<Speaker>ドリーマー</Speaker>||:あの子はまだあたしたちと同じプロトコルを使っている、ならもっと簡単な手段があるじゃない……+覚えてる？あたしたちには攻性防壁ってものがあるでしょ？
BossCerberus(0)<Speaker>デストロイヤー</Speaker>;BOSS-11(0)||:あの……メンタルをオーバーロードさせちゃうやつね……？
BossCerberus(0);BOSS-11(0)<Speaker>ドリーマー</Speaker>||:原理上は、まあそんなところよ。+基地の使えるサーバすべてをつぎ込んだわ。//n今ごろ、あの子のメンタルは焼き尽くされているはずよ。
BossCerberus(0)<Speaker>デストロイヤー</Speaker>;BOSS-11(0)||:おお！今あいつの拠点に向かえば、死体を回収できるってことだよね！+そうなると、残りの404を捕まえるのも時間の問題ね！
BossCerberus(0);BOSS-11(0)<Speaker>ドリーマー</Speaker>||:そのはずよ……+そのはずだけど……本当に、こんなにもうまくいくものかしら……
BossCerberus(0)<Speaker>デストロイヤー</Speaker>;BOSS-11(0)||:そんなのどうでもいいわ！まずはあいつの拠点に行ってみてからよ！
BossCerberus(0)<Speaker>デストロイヤー</Speaker>||:とはいっても……具体的な位置までは分からないし……+うーん……この体、マルチ演算効率が悪すぎるわ。//nひと休みしてゆっくり頭を使わないと……
BossCerberus(0)<Speaker></Speaker>||<BGM>BGM_Empty</BGM>:………………デストロイヤーは立ち止まった。
BossCerberus(0)<Speaker>デストロイヤー</Speaker>||:ええーっと、確かこの辺……
BOSS-11(0)<Speaker>ドリーマー</Speaker><通讯框>||:……ちょっと！
