()||<BIN>99</BIN><黑屏2><BGM>BGM_Room</BGM>:
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>||:よし、みんなよくやったね！何回か間違いそうになったけど、SOP IIが通信で手伝ってくれたから。+あとはSOP IIが戻れば――
Cx4Storm(0);SOPII(0)<Speaker>SOP2</Speaker>||:遅いよ。
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(0)||<震屏>:えっ！SOP II、もう――！
Cx4Storm(0);SOPII(0)<Speaker>SOP2</Speaker>||:ちょっ、やめて！だから足に抱きつかないでって！+わたしは一人だから、軍を避けてすぐ来れたよ。+途中で鉄血と遭遇したの？
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(0)||:うん、何体か拉致したけど、後で全部逃がしたの。+軍の目標があいつらなら、逃がした方が私たちにとって安全ですし。
Cx4Storm(0);SOPII(0)<Speaker>SOP2</Speaker>||:はは！ちゃんと覚えてるね！
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(0)||:というより、よくこんな作戦を思いついたね。
Cx4Storm(0);SOPII(0)<Speaker>SOP2</Speaker>||:へへっ、思いついたんじゃなくて、思い出したの。+これはグリフィンのデータベースにあった秘密戦術なんだよ。//n指揮官に演習させられたこともあって、ちょうど今回の状況は似てたから試してみたの！+まさかうまくいくとはね、あなたたちもよくやったよ！
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(0)||:私たちもとても怖かったけど、みんなちゃんと話を聞いてくれたから、無事に来られたのです。+でも今はのんびりしてる場合じゃないから、早速次の行動を考えないと。
Cx4Storm(0);SOPII(0)<Speaker>SOP2</Speaker>||:そうね、ここから先のルートも分からないし……とにかく、なんとか前のグリフィンの基地に行けばいいよね？+軍の動きはどうなっているの？
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(0)||:暫くは大丈夫のはずです、軍は進行のペース緩めてきました。多分、地図をスキャンしなおしていると思います。
Cx4Storm(0);SOPII(0)<Speaker>SOP2</Speaker>||:……地図をスキャン？
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(0)||:指揮官は前ここで軍と戦ったから、軍の人形は優先して近くの軍の人間を助けているのです。+だからこのエリアの信号をスキャンしないといけないし、私たちにとってはチャンスなのかも。
Cx4Storm(0);SOPII(0)<Speaker>SOP2</Speaker>||:そうね……軍には人間もいるんだよね。+でもあいつらも仲間を助けるんだ？
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(0)||:だって人間なんだよ、人間は私たちよりもずっと高価だよ。
Cx4Storm(0);SOPII(0)<Speaker>SOP2</Speaker>||:はは、それは知ってる、しかも壊れたら直せないから。
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(0)||<BGM>BGM_Empty</BGM>:人間を攻撃したことあるの、SOP II？
Cx4Storm(0);SOPII(0)<Speaker>SOP2</Speaker>||:ないよ。どうして？
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(0)||<BGM>BGM_Wake</BGM>:人間と会うのが心配で……命令がないと、グリフィンの権限では、私たちは人間を攻撃できない。+でも正直言ってそんなことしたくないし、人間は私たちを造って、色んなものを残したから、私たちは……
Cx4Storm(0);SOPII(0)<Speaker>SOP2</Speaker>||:彼らをなるべく避けるべきね。+一度殺されかけたし、次も助かる保証はないよ。
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(0)||:でももし万が一……+私たちはどうすればいいの？//n念のために、なにかの対策を練った方がいいと思います。
Cx4Storm(0);SOPII(0)<Speaker>SOP2</Speaker>||:……+もし万が一の状況になったら、わたしが撃つよ。//nわたしにそういうグリフィンの権限や制限はないからさ。+わたしにとって、わたしたちを傷つけようとする人間と鉄血の違いは、死体からパーツを引っこ抜いて使えるかどうかぐらいよ。
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(0)||:ふっ……いえいえ、私たちだって鉄血のパーツは使わないよ。//nそんなことするのはSOP IIだけだよ。
Cx4Storm(0);SOPII(0)<Speaker>SOP2</Speaker>||:わりとそういうことが好きなのにな……//nきっとペルシカがこっそりメンタルに変な設定を付けたせいね。
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(0)||:うんうん、分かります！私もタバコのパッケージを集めるのが好きみたいな！
Cx4Storm(0);SOPII(0)<Speaker>SOP2</Speaker>||:タバコのパッケージ？
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(0)||:はい！物心ついた時から、タバコのパッケージを集めるのが好きで。+しかも好きなだけじゃなくて、集めないといられないぐらいなので、見たことのないタバコのパッケージを見たら絶対欲しくなります！
Cx4Storm(0);SOPII(0)<Speaker>SOP2</Speaker>||:タバコ吸うの？
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(0)||:いえ！もちろん吸わないです。人形がタバコを吸うと危険なんでしょう？+でもタバコのパッケージを集めるのが好きで、揃えて見ているだけで楽しいのです。+理由はよく分かりませんが、多分そういう設定で造られたのかな。
Cx4Storm(0);SOPII(0)<Speaker>SOP2</Speaker>||:うーん……FNCみたいな、なんの理由もないけどチョコが好きな人形と同じなのかな……+人形は人間の食べ物でエネルギーを補充する必要はないのに……
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(0)||:実は……今までずっと悩んでて……+昔民間で働いてた時、この趣味のせいでよく人間にからかわれてました。+自分のそういうところが嫌いで、何か「好き」になることが嫌いで……
Cx4Storm(0);SOPII(0)<Speaker>SOP2</Speaker>||:それで……ずっと耐えてたの？
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(0)||:私の権限では人間に逆らえないから……どうしようもなくて……+いっそコレクションを全部焼いてしまおうなんてことも考えて……なんの意味もないって分かってるけど、私の「設定」は……そういうものなんだからって。+ちょうどその時に、グリフィンが民生用人形に向けて募集をかけ始めて、私の所有者も私のパラメーターやメンタルテストの結果が条件と合致してることに気づいて、それで――
Cx4Storm(0);SOPII(0)<Speaker>SOP2</Speaker>||:それで一緒にこの戦場で逃げ回ることになったんだね。
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(0)||:そうですね……でも、SOP IIと出会ってから、自分もそんなに変じゃないって思えるようになった。//nだって私と比べて、SOP IIの「趣味」の方がずっと変ですし。
Cx4Storm(0);SOPII(0)<Speaker>SOP2</Speaker>||:ひどいよ！まぁ確かに好きでやっているわけなんだけど……+この「趣味」のおかげで、作戦効率も高くなってるんだからね！
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(0)||:SOP IIはAR小隊にいて、グリフィンの一番重要な任務を担うためのエースですから、きっと私のように意味のない「趣味」をつけられたりしないよ。+正直、ちょっと妬いちゃうな……
Cx4Storm(0);SOPII(0)<Speaker>SOP2</Speaker>||:やきもち？別にそんなにいいことじゃないと思うけどな……
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(0)||:だってSOP IIたちは選ばれたのよ、特別なんだよ、だからきっと私たちのような一般人形とは違うから……+これも……幸運だと思わないの？
Cx4Storm(0);SOPII(0)<Speaker>SOP2</Speaker>||:……分からないや、わたしは鉄血を引き裂くのは好きだけど、ほとんどの人形にとって、毎日普通に物資箱を運ぶのが一番幸せなんじゃないの？
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(0)||:物資箱ですか……確かに、昔はそんな後方支援ばっかりの日々はつまらないって思ってたけど、今考えてみればあれは本当に幸せだったかもしれません……
