()||<BIN>8</BIN><BGM>BGM_War</BGM>:…………+……
NPC-Helian(0)<Speaker>ヘリアン</Speaker><通讯框>||<黑屏1>:指揮官、輸送機に乗ったか？+いい知らせがある。前線で比較的に強力な遭難信号が一つ確認された。我々はそれがAR小隊からのものだとみている。+AR小隊にこれ以上の被害が出ることは、貴官も望んではいないだろう。//nよって部隊を派遣し、急ぎ救援に向かってくれ。+これはできるだけ早くした方がいい。//n先ほどクルーガーさんから連絡を受けたが、これから大規模な作戦があるそうだ。+二人とも現場にいるのなら、状況は私より貴官のほうが詳しいだろう。+……分かっているだろうが、残された時間はそう多くない。//n幸運を祈る。
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<黑屏2><BIN>10</BIN><SE1>Battlefield</SE1>:鉄血の大群がこっちに向かってきてるよ！
RO635(5)<Speaker>RO635</Speaker>||<SE2>Gunfight</SE2>:反応早いわね！+わたしも非常に強い信号を検出したわ。//n信号の特徴はジャッジにそっくりよ！
SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:今回もまたわたしたちだとは思ってないだろうね！
RO635(0)<Speaker>RO635</Speaker>||<SE2>Gunfight</SE2>:こっちへ来たら、飛び出て行って「サプラーイズ！」って驚かしてやるのはどう？
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:へへっ、いいねそれ！+でも、わたしたちしかいない今の状況じゃ……
NEGEV(0)<Speaker>ネゲヴ</Speaker><通讯框>||:こちらネゲヴ小隊。AR小隊、応答せよ！//n二人ともまだ生きてる？
RO635(5)<Speaker>RO635</Speaker>;NEGEV(0)||<SE2>Gunfight</SE2>:いいところに来たわ！+こちらAR小隊、RO。聞こえますか、ネゲヴ小隊。//n信号の位置にて救援を待っています。
RO635(5);NEGEV(0)<Speaker>ネゲヴ</Speaker>||:了解！+次はこんな遠くまで呼びつけないでよね。//nそれか自分たちの足で戻って来なさいよ、分かった？
RO635(5)<Speaker>RO635</Speaker>;NEGEV(0)||<SE1>Battlefield</SE1>:鉄血があなたのような思いやりのある相手なら、ご期待に沿えるよう全力を尽くしますよ！ところで残業は嫌いなのですか！
RO635(5);NEGEV(0)<Speaker>ネゲヴ</Speaker>||:あなたたちと関わるのが面倒なのよ！//n次からはもっと遠いところで働かせてもらうわ！+……で、どういう状況なの？
RO635(4)<Speaker>RO635</Speaker>;NEGEV(0)||<SE2>Gunfight</SE2>:電源、水、弾薬、すべてが足りていません。//n救援部隊はいつ頃到着しますか？
RO635(4);NEGEV(0)<Speaker>ネゲヴ</Speaker>||:わたしたちが救援の先遣部隊よ。//n指揮官の部隊もすぐに到着するわ。
RO635(0)<Speaker>RO635</Speaker>;NEGEV(0)||:分かりました。//nついでにもう一つ、鉄血のハイエンド人形「ジャッジ」もこちらに接近中です。+重要な情報を握っているので、生け捕りにしたいのですが、頃合いを見て最大火力でサポートしていただけませんか？あとはこちらで何とかします。
RO635(0);NEGEV(0)<Speaker>ネゲヴ</Speaker>||<SE2>Gunfight</SE2>:はぁ……//n指揮官から「救援」任務だとは聞いてるけど、「生け捕り」もあるとは聞いてないわ。
RO635(2)<Speaker>RO635</Speaker>;NEGEV(0)||:世の中、なにが起こるか分からないものなのですよ。//nネゲヴさん、善人を演じるなら、きっちり最後まで演じきってください！
RO635(2);NEGEV(0)<Speaker>ネゲヴ</Speaker>||<SE1>Battlefield</SE1>:善人？//n全然わたしのことが解ってないようね、ROさん……+でも、壊すのは大好きだから、喜んで参加してあげるわ。//n準備を済ませてあなたの信号を待ってるわよ。
RO635(5)<Speaker>RO635</Speaker>||:ありがとうございます！では始めましょう！
