()||<BIN>9</BIN><BGM>BGM_Empty</BGM>:……+……ピー。
干扰者()<Speaker>イントゥルーダー</Speaker>||<BGM>BGM_Boss</BGM>:……M4A1、あなたなら来ると思っていたわ。
M4A1()<Speaker>M4A1</Speaker>||<黑屏1>:……+教えなさい……M16姉さんの居場所を。
BOSS-4(0)<Speaker>イントゥルーダー</Speaker><通讯框>||<BIN>5</BIN><黑屏2>:実を言うと、彼女の居場所は知らないの。//nそんなこと、どうでもいいしね。
M4A1(3)<Speaker>M4A1</Speaker>;BOSS-4(0)||:じゃあ、あんたたちの目的は一体何なの？+グリフィンはもうあんたの管轄に踏み込んでいるのに、まだろくに反撃もしないなんて。
M4A1(0);BOSS-4(0)<Speaker>イントゥルーダー</Speaker>||:あら？何もせずにいるのが、逆に驚かしちゃいましたか。+いいでしょう、なら教えてあげますわ。わたくしが受けた命令は……
M4A1(0)<Speaker>M4A1</Speaker>;BOSS-4(0)||:……
M4A1(0);BOSS-4(0)<Speaker>イントゥルーダー</Speaker>||:ふふ♪//n実は何てことないのよ、ただ暇つぶしをしろというだけ。
M4A1(0)<Speaker>M4A1</Speaker>;BOSS-4(0)||:暇つぶし？それが受けた命令だっていうの？
M4A1(0);BOSS-4(0)<Speaker>イントゥルーダー</Speaker>||:何かおかしいかしら？//nエルダーブレインがお望みなら、あなたたちと楽しくお茶したっていいのよ。+ただし……わたくしのところまで来れれば、の話ですけど。
M4A1(0)<Speaker>M4A1</Speaker>;BOSS-4(0)||<黑屏1>:たやすいことよ、イントゥルーダー。
M4A1(0)<Speaker>M4A1</Speaker>||<黑屏2><BIN>10</BIN>:先遣部隊が残してくれた座標を既に特定したから、すぐにでも会えるわ。
BOSS-4(0)<Speaker>イントゥルーダー</Speaker><通讯框>||:ふふ♪//nじゃあ楽しみに待ってますわ。
