()||<BIN>3</BIN><BGM>BGM_Room</BGM>:…………
RO635(3)<Speaker>RO635</Speaker>||:ハァ……ハァ……さすがに……振り切れたでしょ……
RO635(3);SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:多分ね……信号もスキャンできなくなったし。
RO635(3)<Speaker>RO635</Speaker>;SOPII(3)||:ハァ……ハァ……足でジャッジを追っても無駄どころか、ハァ……ジャミングエリアにまで入り込んじゃって、通信はできないし、外では数百体の鉄血が待ち構えているし……+ハァ……弾薬もじき無くなるし、バッテリーも残り少ない……//nその上、何がきついってこんなでっかい箱まで背負わされて……ハァ……ハァ……+こんな目に遭うって知ってたら……まだ……パレット小隊にいたほうがよかった……少なくともAATのおしゃべりで死ぬことはないし……あるにしても、こんなに早くは……ハァハァ……
RO635(3);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:プッ……アハハハハ！
RO635(3)<Speaker>RO635</Speaker>;SOPII(0)||:こ、こんなときに……ハァ…ハァ……なんで……笑えるのよ……
RO635(3);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:ごめんごめん、だって無駄話ばっかなんだもん！本当にあの優等生のRO635だよね？
RO635(3)<Speaker>RO635</Speaker>;SOPII(0)||:もう……なんて返せばいいのか……
RO635(3);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:なに、もうバテちゃったの？+もっと運動したほうがいいよ、RO。//n普段からもうちょっと後方支援とかに参加してさ。
RO635(4)<Speaker>RO635</Speaker>;SOPII(0)||:余計なお世話よ、わたしは指揮タイプの人形なんだから！+あなたこそ……なんでそんなに身体能力が高いのよ。
RO635(4);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:これこそがわたしの長所だもん。+AR小隊の中で、追跡が一番得意なのはわたしなんだから！本職ってやつだよ！
RO635(3)<Speaker>RO635</Speaker>;SOPII(0)||:ハァ……あなたの本職は追い詰めたあとの拷問かと思ってたわ。あれを拷問と呼べるかは怪しいけど……
RO635(3);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:ごめんね、いろいろ苦労かけて。//nただ、M16を見つけるためのチャンスは絶対に逃したくないから。+それより、ROって前はすごく真面目で、なんか距離がある感じだったけど、今はすっごくかわいらしいよね！
RO635(4)<Speaker>RO635</Speaker>;SOPII(0)||:かわいらしい？いま、そんなこと言ってる場合？！
RO635(4);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:怒ってるところもなかなかかわいい。
RO635(4)<Speaker>RO635</Speaker>;SOPII(0)||:持ち上げたって無駄よ、前に何度も言ったよね、命令には従うようにって。こんなことして、後でどうなるか分かってるの？
RO635(4);SOPII(2)<Speaker>M4 SOPMOD II</Speaker>||:うーん……でも何かをしなければいけないんだよ。それで何かを成し遂げないと止められないんだよ……+ROもそうでしょ？//n来ないという選択もできたのに、それでもわたしと来ることを選んだんだから。
RO635(3)<Speaker>RO635</Speaker>;SOPII(2)||:指揮官と約束したからね、あなたたちを全員連れて帰るって。あなたも、M16も。
RO635(3);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:うん……ROの行動からも、約束を守ろうとしてくれているのが伝わるよ。+これでROもAR小隊の立派な一員だよ！
RO635(2)<Speaker>RO635</Speaker>;SOPII(0)||:そう言ってもらえると嬉しいわ……でもこれ、結局どうすればいいのか……
RO635(2);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:わからないよ……わたしもすっごく眠いし……
RO635(2)<Speaker>RO635</Speaker>;SOPII(0)||:もう一日中休んでないものね、そろそろ限界でしょ……+わたしが見張りをするから、先に休んでて。
RO635(0)<Speaker>RO635</Speaker>||<黑屏1>:何とかして通信を回復させないと……一体どうしたら……
