()||<BIN>79</BIN><BGM>BGM_Room</BGM>:…………
NPC-Carter(0)<Speaker>カーター</Speaker>||:詳細は今説明したのでほぼすべてだ。//nハーヴェルのことだが、きっとお前によからぬことを吹き込んだのだろう。+だがお前なら、奴の妄言に揺れ動かないことを信じている。
NPC-Kyruger(0)<Speaker>クルーガー</Speaker>;NPC-Carter(0)||:はい、気に留めるほどの内容ではありませんでした。//nまた、今回の作戦についてですが、既に準備を進めさせております。
NPC-Kyruger(0);NPC-Carter(0)<Speaker>カーター</Speaker>||:ああ、お前も感じているだろうが、今回の作戦に干渉してくる者がいるかもしれん。行動は早いほどいいだろう。
NPC-Kyruger(0)<Speaker>クルーガー</Speaker>;NPC-Carter(0)||:今日中にでも、我々の指揮官をあなた方の部隊と共に前線へ向かわせることは可能です。//n彼の人形部隊はすでに前線に到着しているそうなので。
NPC-Kyruger(0);NPC-Carter(0)<Speaker>カーター</Speaker>||:そうか。では、すぐにエゴールのヘリで出発させよう。
NPC-Kyruger(0)<Speaker>クルーガー</Speaker>;NPC-Carter(0)||:はい。//nですが出発の前に、2人だけで少し話をさせていただけないでしょうか？
NPC-Kyruger(0);NPC-Carter(0)<Speaker>カーター</Speaker>||<黑屏1>:構わんよ。私も次の命令の指示を出さねばならん。
()||<黑屏2><BIN>79</BIN>:…………カーターは部下とともに部屋を出た。
()||:……クルーガーは先程の報告に耳を傾けた。
NPC-Kyruger(0)<Speaker>クルーガー</Speaker>||<黑屏1>:……そうか、AR小隊の残りのメンバーも失踪したか。//n指揮官、何としても彼女たちを探し出せ。+さっきの話はお前も聞いていただろう。//nハーヴェルは怪しい奴に見えるだろうが、適当なことを言う人種ではない。+今回の作戦では何か大ごとが起きそうな気がする。//n現時点で動かせられるグリフィンの人形をすべてお前に回そう。+あとは臨機応変に対応してくれ。くれぐれも気をつけろ。
克鲁格()<Speaker>クルーガー</Speaker>||<黑屏2><BIN>9</BIN>:さあ、話は終わりだ。//n行ってこい、エゴールが外で待っている。
()||:…………クルーガーがドアを開けた。
NPC-Carter(0)<Speaker>カーター</Speaker>||:終わったのか？//n大尉、グリフィンの指揮官を連れて出発しろ。
NPC-Yegor(0)<Speaker>エゴール</Speaker>||:はい。
NPC-Kyruger(0)<Speaker>クルーガー</Speaker>||:将軍、少しお聞きしたいことが。
NPC-Carter(0)<Speaker>カーター</Speaker>||<黑屏1>:ああ、なんだね。
()||:…………ドアが閉まり、クルーガーとカーターの姿は夜の宴に溶け込んでいった。
NPC-Yegor(0)<Speaker>エゴール</Speaker>||:グリフィンの指揮官、こちらへどうぞ。
()||<黑屏1>:…………
