()||<BIN>10</BIN>:【TIPS】よりスムーズにプレイするため、この先にあるチュートリアルをよくお読みください。
CLEAR(0)<Speaker>クレア</Speaker><Position>0,100</Position>||:いい夢見てね、フェイル……
TMP(0)<Speaker>TMP</Speaker>||:これでまた、新しい封印を解くことができますね。
K2(0)<Speaker>K2</Speaker>||:クレア、その左手……+何があったの？
CLEAR(0)<Speaker>クレア</Speaker><Position>0,100</Position>||:あ、これ……+これはね、この街の精霊たちが私に与えた罰。
Thunder50(0)<Speaker>Thunder</Speaker>||:罰？
CLEAR(0)<Speaker>クレア</Speaker><Position>0,100</Position>||:ポケットシティの住民が消沈して落ち込むほど、私の左手は腐食していくの。
M950A(0)<Speaker>M950A</Speaker>||:それは……フェイルみたいに？
CLEAR(0)<Speaker>クレア</Speaker><Position>0,100</Position>||:ええ。言い換えれば、これはフェイルが私に宿っている部分でもあるの。
AEK999(0)<Speaker>AEK-999</Speaker>||:お前とフェイルは……同じ人じゃなかったのか？
CLEAR(0)<Speaker>クレア</Speaker><Position>0,100</Position>||:分からないわ、でも私たちの魂は別々に存在すると思うの。+ただ、もう一度彼女に会えるかは分からないけど……+はい、おしゃべりはここまで！前に進みましょう！
()||:【TIPS】この先の戦闘は通常の戦闘と大きく異なります。以下の説明をよくお読みください。+予期せぬ事態を避けるため、まず初めに【自動スキル】をオフにして、【設定】-【音声】の【BGM】をオンにしてください。+リズムノートが青色の判定ラインと重なる瞬間に、対応する人形のスキルアイコンをタップすることで、相応のMAXシンクロ率を獲得できます。+逆にリズムノートを外した場合、人形は一定のダメージを受けます。+BGMが止むまでに、全ての人形が撃破されていなければ、勝利となります。+繰り返しになりますが、予期せぬ事態を避けるため、必ず【自動スキル】をオフにして、【設定】-【音声】の【BGM】をオンにしてください。
