()||<BIN>7</BIN><BGM>BGM_Sneak</BGM>:…………ピー。
SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:ふぅ……やっと落ち着いたね。+食事をとったら体も暖まってきたし……+ていうか、ここがヘリアンさんの言ってたシェルター？
RO635(3)<Speaker>RO635</Speaker>||:おそらく。しかし……+……誰かM1887を見ましたか？
M16(2)<Speaker>M16A1</Speaker>||:見当たらないな。//n確かに人形が来た形跡はあるが、データが示すには3時間も前だ。+仕方ない、ヘリアンさんに連絡しよう。
()||:…………ピー。
M16(3)<Speaker>M16A1</Speaker>||:グリフィン本部、応答願います。+……ヘリアンさんですか？
计量官()<Speaker>ゲーガー</Speaker>||<BGM>BGM_Empty</BGM>:掛け間違えてるぜ……+……グリフィンのお嬢さんたち。
RO635(4)<Speaker>RO635</Speaker>||:……？！
RO635(5)<Speaker>RO635</Speaker>||:何者？！
BOSS-7(0)<Speaker>ゲーガー</Speaker><通讯框>||<BGM>BGM_Boss</BGM>:鉄血工造SP21「Gager」、通称「ゲーガー」だ。+そこにいるAR小隊、そしてグリフィンの人形たち。生きて帰られると思うな。+通信が繋がると同時に、お前たちの居場所も完全に把握した。
RO635(0)<Speaker>RO635</Speaker>;BOSS-7(0)||:…………
RO635(4)<Speaker>RO635</Speaker>;BOSS-7(0)||:（つまり……今までは把握されていなかった？）
BOSS-7(0)<Speaker>ゲーガー</Speaker>||<黑屏1>:お前たちの勇気としぶとさには感服した。//nただ、それももう終わりだ。+鉄血が間もなくお前たちを完全に包囲する。//nせいぜい最後の時間を楽しむんだな……+……すべての希望は、霧と化して消え失せるのさ。
()||<黑屏2><BIN>34</BIN>:…………同じころ、鉄血司令室にて。
BOSS-9(0)<Speaker>アーキテクト</Speaker>||:ひやぁ～～しびれるよぉ、ゲーガー！+そうそう、その勢いよ！//nあのポンコツたちに戦闘用人形とは如何なるものか思い知らせてやれ！
BOSS-7(0)<Speaker>ゲーガー</Speaker>;BOSS-9(0)||:黙れ。業務に集中しろ。
BOSS-7(0);BOSS-9(0)<Speaker>アーキテクト</Speaker>||:ちょっと！あたしだってちゃんと砲台のテストしてたし！+ほら、外を見てよ！あの一列に並んだ砲台、全部あたしが設置したんだから！//nいっせいに発射させたら、きっと綺麗なんだろうな～！
BOSS-7(0)<Speaker>ゲーガー</Speaker>;BOSS-9(0)||:それだけ？それだけのために並べたのか？+そこまで好き放題されたら、さすがに資源の補給も追いつくかどうか……
BOSS-7(0);BOSS-9(0)<Speaker>アーキテクト</Speaker>||:いいのいいの！こっちの方が見ててすっきりするでしょ？+それに、あたしは一応あんたの上司よ！//n上司をサポートすることがあんたの役目でしょ！
BOSS-7(0)<Speaker>ゲーガー</Speaker>;BOSS-9(0)||:ああ、そうだな。//nでは副官として、ただいまより害虫駆除に参る。
BOSS-7(0);BOSS-9(0)<Speaker>アーキテクト</Speaker>||:え？行かなきゃダメなの？//n放っておいてもいいんじゃない？
BOSS-7(0)<Speaker>ゲーガー</Speaker>;BOSS-9(0)||:あの虫けらどもの中には、AR小隊の残党も混じってる。
BOSS-7(0);BOSS-9(0)<Speaker>アーキテクト</Speaker>||:そうなの？？！//nじゃあ、あたしも行くーっ！
BOSS-7(0)<Speaker>ゲーガー</Speaker>;BOSS-9(0)||:お前まで出かけたら、誰が基地を守るんだ。//nそれにここは奴らが撤退する際に必ず通る場所だ。+ここで見張り、グリフィンの奴らが現れたらすぐに知らせろ。
BOSS-9(0)<Speaker>アーキテクト</Speaker>||<黑屏1>:わかった！じゃ、さっさと行ってきて！//nあたしがちゃんと留守番するから！
