()||<BIN>9</BIN><SE1>AVG_Rain2</SE1><BGM>BGM_Empty</BGM>:……
？？()<Speaker>？？</Speaker>||<BIN>9</BIN>:M4……+…………+M4A1……
M4A1()<Speaker>M4A1</Speaker>||<BIN>9</BIN><黑屏1>:…………+こ……ここは……？
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN><黑屏2>:……！+え……+A……AR……
AR15()<Speaker>AR-15</Speaker>||<BIN>117</BIN>:動かないで。+負ぶうの大変なんだから。
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN><BGM>BGM_Wake</BGM>:…………+本当に……AR15？
AR15()<Speaker>AR-15</Speaker>||<BIN>117</BIN><SE2>AVG_Rain2</SE2>:大人しくしてて、声聞いてたらわかるでしょ？
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN>:どうして……+……信じられないわ！+AR15……あなた……無事だったの！？
AR15()<Speaker>AR-15</Speaker>||<BIN>117</BIN>:詳しいことは後よ、まずはここを離れることが先決。
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN><SE1>AVG_Rain2</SE1>:でもこんな時に……どうして……
AR15()<Speaker>AR-15</Speaker>||<BIN>117</BIN>:任務中にあんたを偶然見つけただけ。+少なくとも……悪いことではないはずよ。
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN>:降ろして、自分で歩くわ。
AR15()<Speaker>AR-15</Speaker>||<BIN>118</BIN>:自分で歩けるなら最初から負ぶってないわ。
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN>:……？！+体が……いうことを聞かない……？
AR15()<Speaker>AR-15</Speaker>||<BIN>118</BIN><SE2>AVG_Rain2</SE2>:文句ならそいつに言って……+コードを切るときにあんたのメンタルモジュールをちょっと傷つけたせいで、一時的に動けないのよ。
AK12()<Speaker>AK-12</Speaker>||<BIN>118</BIN>:そうそう、私のミスよ。だからこの箱を背負ってあげてるんじゃない。+ただこれも、あなたたちみたいな型落ち人形が、妙に精密なモジュールを搭載してるからよ。私のせいだけじゃないわ。
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN>:この声……誰？
AK12()<Speaker>AK-12</Speaker>||<BIN>118</BIN>:戦術人形AK-12よ。【反逆】小隊の。
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN>:反逆……？何をする小隊なの？+AR15もそこの一員なの？
AR15()<Speaker>AR-15</Speaker>||<BIN>118</BIN>:新しい雇い主を受け入れた以上、私に他の選択肢はないわ。+アンジェリア。あんたも会ったでしょ。
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN>:アンジェ……リア……？+……私が作戦区域に入る手助けをしてくれた、あの女性のこと？+他のみんなは？+SOP II……それにROは？
