()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>||<BIN>99</BIN><BGM>BGM_Sneak</BGM><黑屏2>:SOP II！防衛ラインを張りましたよ！
Cx4Storm(0);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:よし――！みんな元気出して！スケアクロウもそう長くはもたないはず――ケホッ……ケホッケホッ……
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(0)||:どうしたのですか？
Cx4Storm(0);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:ケホッ……叫びすぎて、音声モジュールがオーバーロードしそう……
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(0)||:そんなに大変だったの？
Cx4Storm(0);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:うん……逃げ出してきた時、いらないものをたくさん捨ててきたから……
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(0)||:道理でそんなボロボロで……+でも大丈夫です、撤退した時物資を少し持ち出してきたから、ちょっとぐらいなら修復できるかもしれません。+だから先に休んでて、スケアクロウはすぐに攻めてこないはずだから。
SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:でもずっとここを死守するわけにはいかないよ、隙を見つけて撤退した方が――
()||<SE2><SE2>Gunfight</SE2></SE2><BGM>BGM_Empty</BGM>:……バン！バン！
SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||<BGM>BGM_Battle</BGM>:え？この音……側面から？！+鉄血にはまだ分割できるほどの部隊がいたの？
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(3)||:SOP II、あれは軍よ！軍がこっちを発見したの！
Cx4Storm(0);SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:軍？！なんでまだここにいるの！
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(3)||:あいつらはここから離れたことはない！きっとさっきの戦闘で、巡回の部隊を引き寄せてきたのよ！+これじゃ挟み撃ちされることになるよ！撤退できないどころか、みんなやられちゃう！
Cx4Storm(0);SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:いや、そうじゃない……+今なら……鉄血から攻撃されることはないはず。
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(3)||:……それはなぜですか？
Cx4Storm(0);SOPII(3)<Speaker>M4 SOPMOD II</Speaker>||:軍はわたしたちよりも鉄血の方を優先して殲滅している。//nだから、多分、鉄血も今かなり慌てていると思う。
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(3)||:鉄血も……軍の目標なの？+じゃあ私たちは今どうすれば……？
Cx4Storm(0);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:……+Cx4……+わたしのこと、信じてる？
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(0)||:も、もちろんです！+あなたがいなければ、私たちはもうみんなやられている。
Cx4Storm(0);SOPII(0)<Speaker>M4 SOPMOD II</Speaker>||:じゃあ今からも……わたしのことを信じてね。
Cx4Storm(0)<Speaker>Cx4 ストーム</Speaker>;SOPII(0)||<黑屏1>:え？+SOP II……なにをする気なの……？
