()||<BIN>34</BIN><BGM>BGM_Boss</BGM>:…………
BOSS-6(0)<Speaker>デストロイヤー</Speaker><通讯框>||:ねぇ、ドリーマー？+なんか正体不明の信号が侵入してるよ。
BOSS-6(0);BOSS-11(0)<Speaker>ドリーマー</Speaker>||:そんな大っぴらにやってくるようなら、グリフィンではないはずよ。
BOSS-6(0)<Speaker>デストロイヤー</Speaker>;BOSS-11(0)||:確かにそうだね……よーく見るとグリフィンの信号じゃない……+むしろ……あたしたちのものとよく似てるような……？
BOSS-6(0);BOSS-11(0)<Speaker>ドリーマー</Speaker>||:面白いわね、見せてみなさい。+…………+デストロイヤー、これはオーガス（Ogas）プロトコルの信号よ。こんなものも見分けられないの？
BOSS-6(0)<Speaker>デストロイヤー</Speaker>;BOSS-11(0)||:オーガス？何それ？
BOSS-6(0);BOSS-11(0)<Speaker>ドリーマー</Speaker>||:あら……アップデートが不十分だったみたいね……+覚えておきなさい、オーガスプロトコルは我々鉄血のネットワークシステム。グリフィンのゴミクズどもが使ってるツェナープロトコルとは違うわ。+この信号を持つのは、あたしたちの仲間だけ……
BOSS-6(0)<Speaker>デストロイヤー</Speaker>;BOSS-11(0)||:仲間？誰かここに来るって言ってた？何も聞いてないんだけど。
BOSS-6(0);BOSS-11(0)<Speaker>ドリーマー</Speaker>||:或いは……【傘】ウイルスの持ち主かもしれないわね。
BOSS-6(0)<Speaker>デストロイヤー</Speaker>;BOSS-11(0)||:【傘】？それってあの……+えーと……感染したグリフィン人形のプロトコルを、あたしたちのプロトコルに書き換えられるウイルスのこと？
BOSS-6(0);BOSS-11(0)<Speaker>ドリーマー</Speaker>||:そうよ……あれはあれでずいぶんと役に立ってくれたわ。+ともかく、ここまで正々堂々と侵入してくれたら、こっちも偵察の手間が省けるわね。
BOSS-6(0)<Speaker>デストロイヤー</Speaker>;BOSS-11(0)||:運用開始したばかりの自爆ユニットを起動したよ。挨拶代わりにとりあえずこれで十分っしょ。+そういえば、あたしの新しいボディはまだ？+ひと眠りして起きたら、待機の場所が変わったようにしか思えないんだけど……
BOSS-6(0);BOSS-11(0)<Speaker>ドリーマー</Speaker>||:あなたのメンタルを取り出して、現地の改造工廠へ送ったの。じきに組立が始まるわ。+でも今は敵の詳細を突きとめることが先。//nだから組立のことは一旦先送りにして、まずは敵の足止めをしてちょうだい。+それから、放送を流してもらえるかしら。あいつらの出方を見るわ。
BOSS-6(0)<Speaker>デストロイヤー</Speaker>;BOSS-11(0)||<黑屏1>:なによ、人をこき使いやがって……分かったわ、言う通りにしてあげる。+最後にこの手であいつらを八つ裂きにできるなら、それであたしは満足だから。
()||<BIN>55</BIN><Night><BGM>BGM_Sneak</BGM><黑屏2>:…………偵察拠点を確保してから10分後。
UMP9(0)<Speaker>UMP9</Speaker>||:こちらUMP9。シーア、応答せよ。繰り返す。こちらUMP9。シーア、応答せよ。
UMP9(0);NPC-Seele(0)<Speaker>シーア</Speaker><通讯框>||:はい、9さん、報告ですか？
