()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()<Speaker>指挥官</Speaker>||<黑屏2><BIN>221</BIN><BGM>BGM_Sneak</BGM>:格林娜，现在情况如何？
NPC-Kalin(9)<Speaker>格琳娜</Speaker>||：那些机甲突破后正在往……深井电梯那边前进，似乎他们想进入基地的深层。
()<Speaker>指挥官</Speaker>||:海星的所在地么……+让安洁想办法吧，我们现在已经分不出更多人手了。+入口处情况呢？
NPC-Kalin(9)<Speaker>格琳娜</Speaker>||：军方的后续装甲部队正在试图越过爆炸形成的路障，应该阻挡不了太久了。+要发起反击吗？
()<Speaker>指挥官</Speaker>||:这是我们手里最后几支梯队了，不能再损失更多了。+该死，只能往基地内退守了吗？
NPC-Jason(1)<Speaker>K</Speaker>||:不能退守，他们如果暴露在外面我应该还能有办法。
()<Speaker>指挥官</Speaker>||:我正在听着。
NPC-Jason(1)<Speaker>K</Speaker>||:还有通讯设备吗？
()<Speaker>指挥官</Speaker>||:远程通讯已经全被毁了。
NPC-Jason(1)<Speaker>K</Speaker>||:有短途的就可以，你应该也知道在基地外面不远处就有信号旗的部队。
()<Speaker>指挥官</Speaker>||:我是知道，但他们会提供帮助么？
NPC-Jason(1)<Speaker>K</Speaker>||:那就得看怎么谈了。+通讯设备给我，调整到甚高频73.975，跳频111次每秒。加密模式第12号。
()<Speaker>指挥官</Speaker>||:给他吧。
NPC-Kalin(9)<Speaker>格琳娜</Speaker>||：好了，已经调解好了。+……他们真的会回应吗？
NPC-Jason(1)<Speaker>K</Speaker>||:先希望能接通吧。+这里是“瀑布”，收到请回答。
()<Speaker></Speaker>||<SE1>AVG_whitenoise</SE1>:……+通讯无线电传来的只有白噪音。
NPC-Jason(1)<Speaker>K</Speaker>||:重复一遍，这里是“瀑布”，收到请回答。
()<Speaker></Speaker>||:……
NPC-Kalin(9)<Speaker>格琳娜</Speaker>||：没有反应啊……
()<Speaker></Speaker>||:K看了一下格林娜焦急的神色，再次握紧了无线电台。
NPC-Jason(1)<Speaker>K</Speaker>||:重复一遍，这里是”瀑布“，请求信号旗第四分队钴13小组协助，收到请回答。+识别代码DINV-RTSA-1239，现在发起的是紧急通讯，收到请立即回答。
()<Speaker></Speaker>||<SE1>AVG_tele_connect</SE1>:沉默的白噪音随着一声电子声结束，然后传出了一个男人的声音。
()<Speaker>钴13</Speaker>||:<color=#00CCFF>这里是钴13收到，正在接受你的信息。完毕。</color>
NPC-Jason(1)<Speaker>K</Speaker>||:钴13请听取信息，瀑布请求支援，敌方部队即将突破防区进入设限区域，已严重威胁到我方任务执行。+请求火力协助。完毕。
()<Speaker>钴13</Speaker>||:<color=#00CCFF>否决，我们没有获得开火权限。完毕。</color>
