()<Speaker>﻿</Speaker>||<BIN>18</BIN><BGM>BGM_Sunshine</BGM>:…………回収任務が終了した、翌日の午前。+………………　
PM(0)<Speaker>マカロフ</Speaker>||:16LABの分析によると、今回ドリーマーは全部ダミーだけで動いていたみたいね。
RO635(3)<Speaker>RO635</Speaker>||:やはり……切り札はまだまだあるということね……
RO635(2)<Speaker>RO635</Speaker>||:でも……しょせんはダミーでしか姿を現さない腰抜け……+何はともあれ、戻って来れて本当によかったわ。//nみんなもお疲れ様。
AAT52(0)<Speaker>AAT-52</Speaker>||:今晩みんなで良いもの食べに行こう！//nROも一緒にどう？
RO635(0)<Speaker>RO635</Speaker>||:えっと……実はM16とSOP IIのところに行かなければならないの。+だから今回はここまでよ、また今度ね。
MK2(0)<Speaker>ステンMK-II</Speaker>||:あの……私たち、解散なんてしないよね？+ROさんが新しい小隊に移ったとしても、私たちは変わらず「パレット」のメンバーなのよね？
RO635(2)<Speaker>RO635</Speaker>||:ええ、わたしたちが仲間であることに変わりはないわ。+それに上層部も、「パレット」の在籍記録は残してくれると言っていた。+もし助けが必要となれば、また声をかけさせてもらうわよ。
92type(0)<Speaker>92式</Speaker>||:あなたは隊長よ。//n必要となればいつでも呼んでくれて構わないわ。+向こうにいる間も、ちゃんと気を付けてね。
RO635(2)<Speaker>RO635</Speaker>||<黑屏1>:分かってる。+わたしは純粋に命令だけで動く人形じゃない……+自分の背負っているものはちゃんと分かっているつもりよ。
()||<BGM>BGM_Empty</BGM><BIN>9</BIN><黑屏2>:…………その夜。//nRO635が指揮官に報告を終えてから、3時間後。+…………ピー。
NPC-Persica(0)<Speaker>ペルシカ</Speaker><通讯框>||:RO、もしもし、RO……+RO、聞こえてる？
RO635()<Speaker>RO635</Speaker>||:…………+もしもし？+……ペルシカさん？……
NPC-Persica(0)<Speaker>ペルシカ</Speaker>||<BGM>BGM_Room</BGM>:その……+報告書を読んだわ。//nあのプログラム、どうだった？
RO635()<Speaker>RO635</Speaker>||:ええ……+少し操作しづらかったですけど、役立ちました。
NPC-Persica(3)<Speaker>ペルシカ</Speaker>||:あの侵入プログラムは……鉄血の権限モジュールをいじったものなの。+そのモジュールは、先月解析できたばかりのもので……
RO635()<Speaker>RO635</Speaker>||:ということは……+AR小隊が第3セーフハウスで、危険を冒してまで入手したあれですか？
NPC-Persica(3)<Speaker>ペルシカ</Speaker>||:ええ……そうよ……+あれは……過去の遺物なの……
RO635()<Speaker>RO635</Speaker>||:遺物って……人間って面倒ごとが絶えないのですね……+だからわたしたちまでこんな面倒なことに……
NPC-Persica(2)<Speaker>ペルシカ</Speaker>||:ふふふ……それが人形技術を開発した理由だからね。+にしても……声がこもっていて、うまく聞き取れないよ。
RO635()<Speaker>RO635</Speaker>||:ええ……+さっきM16とちょっと飲んだので……+彼女と話しますか？
NPC-Persica(3)<Speaker>ペルシカ</Speaker>||:今はいいわ……+あの子たち、今は安全なんでしょ？
RO635()<Speaker>RO635</Speaker>||:はい。SOP IIのメンタルは回復しつつあり、現在修復中です。+わたしはM16とバーで飲んで、少し話をしていました……+任務のこと……グリフィンのこと……鉄血……M4……+そしてAR15のこと……
NPC-Persica(0)<Speaker>ペルシカ</Speaker>||:…………+M4なら大丈夫よ、問題ないわ……+AR15については……まだ考えているところよ……+RO、あなたは？//nあなたは大丈夫なの？+私、それがずっと心配で……
RO635()<Speaker>RO635</Speaker>||<黑屏1>:ええ、分かっています……+だからわたしがAR15より強くなって、彼女のために復讐をしないと……+それを証明したくて、ずっとうずうずしています……
()||<黑屏2><BIN>18</BIN><Night>:………………
M16(0)<Speaker>M16A1</Speaker>||<BGM>BGM_Sunshine</BGM>:やっと戻ってきたか。//nずいぶんと長電話だったようだが。
RO635(0)<Speaker>RO635</Speaker>;M16(0)||:さっきの話の続きですけど、うちの小隊については、どう思いますか？
RO635(0);M16(0)<Speaker>M16A1</Speaker>||:悪くない。//nAATがもう少しおとなしければ、80点ってところだな。+RO、お前もずいぶん成長したな。
RO635(3)<Speaker>RO635</Speaker>;M16(0)||:ええ……あなたたちのためにね。+すべてはあなたたちのため、AR小隊のためです……
RO635(3);M16(0)<Speaker>M16A1</Speaker>||:…………+いい加減、「あなたたち」って言うのをやめたらどうだ？+お前も「私たち」の一員、私たちの仲間なんだから……+ところで、どうするかは決めたか？
RO635(0)<Speaker>RO635</Speaker>;M16(0)||:……
RO635(2)<Speaker>RO635</Speaker>||<黑屏1>:ええ、もちろんです。+それがわたしが戻ってきた目的ですから。
RO635()<Speaker>RO635</Speaker>||<BIN>9</BIN><黑屏2>:もっと喜んでくださいよ、M16。+わたしたちの復讐が、間もなく始まるのですから。
